speaker,timestamp,"End Time",words

"Ruth Olson","00;10;49;23","00;11;11;23","Yes, he was there to begin with. He trained they created the homestead restoring and restore for a while. And he was in really for a while. But then we went to work in the in the camps and was working with camp camps in Central. I remember headquarters. So that I mean, it was kind of an important for the camps, their sakes."

"Ruth Olson","00;11;11;26","00;11;33;25","And then he went to Mobil and he was an officer of Mobil. And then when he came back, it was during the Depression and he worked as a foreman and associated positions and then shortly after that, he was postmaster."

"Margaret Olson","00;11;33;28","00;11;37;11","There. But then you worked down Bear Creek in the logging."

"Ruth Olson","00;11;37;14","00;11;43;22","Well, for her, yeah. Had the timber. Yeah, it was in the timber, but he worked on it."

"Sam Schrager","00;11;43;24","00;11;44;11","But."

"Ruth Olson","00;11;44;13","00;11;47;23","He scaled."

"Sam Schrager","00;11;47;26","00;11;54;23","Well talking about the work that the kids were supposed to do. Did this leave you very much free time?"

"Ruth Olson","00;11;55;00","00;12;10;23","yeah. We had plenty of free time. We planned every evening if we wanted to. We were out. The whole community would get together, the kids and we'd play games together. And she from high school, just games like that, that we didn't have a lot of sleeping."

"Margaret Olson","00;12;10;25","00;12;16;17","We didn't have play things and we didn't have money to buy things, and we just had fun."

"Sam Schrager","00;12;16;19","00;12;21;26","What kind of spread age would there be among the kids that would get together and play? Was it a wide age group?"

"Ruth Olson","00;12;21;28","00;12;23;20","Yeah. yeah. From the."

"Sam Schrager","00;12;23;22","00;12;25;05","School."

"Ruth Olson","00;12;25;08","00;12;25;29","First grade."

"Margaret Olson","00;12;25;29","00;12;28;23","On through sometimes even high school kids players."

"Ruth Olson","00;12;28;23","00;12;50;18","I remember it was it was that when we were playing when she run that I you know glories when they came here I had met Dora here, She got down there some way and I was the first time I'd seen her, she was in high school and she was playing with the little kids."

"Sam Schrager","00;12;50;20","00;12;52;20","I play Run sheep, right?"

"Margaret Olson","00;12;52;22","00;12;53;16","It's a hard."

"Sam Schrager","00;12;53;18","00;12;55;08","Game. Is that when."

"Ruth Olson","00;12;55;11","00;13;18;21","You have two teams and everybody stays at the home base, the other goes out and they have a leader that takes them out and hides them and gives him certain signals and they're supposed to maybe they yell red and that means you're supposed to go to a certain place and the others. In the meantime, we're trying to find where they're getting them and they have their signals to tell to sneak from one place to another, try to get in."

"Sam Schrager","00;13;18;23","00;13;20;28","Trying to get to her home base. Yeah."

"Ruth Olson","00;13;21;00","00;13;22;15","I know where they you."

"Margaret Olson","00;13;22;17","00;13;27;00","Yeah, those things were really lost. I think kids now if they do some of those."

"Ruth Olson","00;13;27;00","00;13;32;24","Things it's a can of course that was learned to really enjoy it."

"Sam Schrager","00;13;32;26","00;13;47;26","Yeah. What about. I heard that there were a lot of party games that were played in schools too. You dealt with that through around here. not during school, but. But for what you have got. Yeah. There's."

"Ruth Olson","00;13;47;29","00;14;11;21","There's good parties in here and have lots of fun of those too. That's where every basketball game we usually entertained the visiting team and had a party for them afterwards. And I remember one time a sledding party where we got sleds and after the basketball game we had a party and where we all took one course. But we always entertained the visiting team after basketball."

"Margaret Olson","00;14;11;24","00;14;26;26","Of course, at that time they used to stay overnight a lot of times and they'd stay in the homes. The players would stay in the homes of the the local players or people. Whoever had room."

"Sam Schrager","00;14;26;29","00;14;36;19","Was kind of nice because I heard I've heard a lot about the rivalry between the towns when they played basketball. You know, I was really quite, you know, I don't know if that was."

"Margaret Olson","00;14;36;20","00;14;39;27","Well in the game it was. But that well, they didn't have."

"Ruth Olson","00;14;40;00","00;14;59;05","Too many around at that time. We made good friends and some people we kept track of for years that we would stay in their homes. You know, when we went to Potlatch and Elk River Park here in Fernwood."

"Margaret Olson","00;14;59;07","00;15;04;06","My daughter met a girl up near a burger from Elk Grove. And the other day and she said."

"Ruth Olson","00;15;04;06","00;15;05;27","Well mentioned, you."

"Margaret Olson","00;15;05;27","00;15;19;20","Know, you probably knew my mother and she was well, I didn't know her, but I knew her older sisters. They used to play basketball. And I and I knew then then and the."

"Sam Schrager","00;15;19;22","00;15;29;08","Was a what what was the set up on basketball. There were how would how big were the teams."

"Ruth Olson","00;15;29;08","00;15;48;15","And well, we had a girls team the same as the boys. And we made lots of times the very same groups of the boys. We'd go the Elk River and is the overnight and play. And usually just one time we didn't have a practice thing like they do now, but we would go and meet most of the kids that the boys had."

"Ruth Olson","00;15;48;15","00;16;15;10","One time the coach's wife decided that we couldn't. Maybe the train would make connections a ballgame. They started out with them. We had to take us to Boulder. We got up as far as a flight place and the team gave out and we had walked from flags to Boulder to catch the train. We made it even though we had to walk through it and got on the train up there to go on the Elk River to play basketball with."

"Sam Schrager","00;16;15;13","00;16;23;14","Would you remember the the game this being? Did you do a lot of practice? Was there a lot of skill involved? It was a mostly fun."

"Ruth Olson","00;16;23;14","00;16;39;18","Well, we practiced quite a bit, but not like they do today. We have the old what they call the old Legion Hall, and it was just a cracker box there. There wasn't a room alongside people. If people still along the side, they were really on the court and there was just a little stage where they could see it."

"Ruth Olson","00;16;39;20","00;17;00;14","But that's our practice. Then after they built the high school, then we had to go from the Legion Hall up to the high school, a shower. Sometimes by the time we got up there we were perspiring and our hair would be frozen stiff. By the time we got to the high school shower. But we enjoyed it and the, you know, we were not the worst for."

"Ruth Olson","00;17;00;14","00;17;04;29","No, we were. We had like."

"Sam Schrager","00;17;05;01","00;17;06;23","There was one time for the whole high school."

"Ruth Olson","00;17;06;24","00;17;20;20","Yes, one time for the whole high school. Those were the boys and girls and boys didn't have a second straight. Well, I have to go there and take care of this. So yeah, I think that."

"Sam Schrager","00;17;20;22","00;17;29;23","When you first moved into dairy, what was the school situation that time of? They didn't have the high school?"

"Ruth Olson","00;17;29;23","00;17;57;14","No, just elementary school. When the folks first moved here. Of course, none of our family was yet in school when they first moved here. And then, of course, they built the building up that was up there close to where we live now. And my grandfather and uncle helped build it and my uncle was injured. He fell on it and they said that his death was a direct result."

"Sam Schrager","00;17;57;17","00;18;03;27","Of Lord."

"Ruth Olson","00;18;04;00","00;18;14;00","But that was building the second story building they had. It tells about the folks about halfway when they decided to put a side story on and so on."

"Sam Schrager","00;18;14;02","00;18;15;14","Do you know how he fell?"

"Ruth Olson","00;18;15;16","00;18;20;21","What? No. He was working on up on top somewhere. You know."

"Sam Schrager","00;18;20;23","00;18;24;09","What? What did you think of dearie, when you first moved?"

"Ruth Olson","00;18;24;15","00;18;40;07","Well, I just. Yeah, I was just six months old. And they hear you're just. Yeah, I was six months old, and they moved here, so I couldn't think about her."

"Sam Schrager","00;18;40;10","00;18;41;26","Do you remember Harsh?"

"Ruth Olson","00;18;42;04","00;18;42;09","yeah."

"Sam Schrager","00;18;42;14","00;18;43;08","Well."

"Ruth Olson","00;18;43;10","00;19;05;15","He was. I think it was a real, I think a real good fellow to deal with. Now, I know when we got ready to go to school, the folks would go away to college. The folks couldn't afford to send. They didn't have the money and talk about it all the time. And he's like, I've never turned you down yet, have I?"

"Ruth Olson","00;19;05;18","00;19;22;17","So we got money, then we borrowed to go to school and paid it back. When we got out and started working."

"Sam Schrager","00;19;22;19","00;19;35;19","I guess he had money. He had a more mixed reputation and I think bankers, a lot of bankers will tend to have that kind of reputation because those who were who they supported will think a lot more highly of him than they did."

"Ruth Olson","00;19;35;19","00;19;58;18","Well, I think that may be true, too. And sometimes the people who maybe don't think so much of some of those people are the ones I don't know, but maybe some of them that got money and didn't want to pay it back or maybe trying to get out of I don't know. Yeah, there may be a reason for it."

"Sam Schrager","00;19;58;21","00;20;04;14","But would you say that that that Mr. Harsh was really working for the good of the community?"

"Ruth Olson","00;20;04;22","00;20;20;17","I think so, yes. Yeah, I think definitely, yeah. As far as I remember, we had quite a few years back after we were out teaching quite a while."

"Sam Schrager","00;20;20;19","00;20;29;00","Do you know what happened to the, to the bank and why and why failed eventually."

"Ruth Olson","00;20;29;03","00;20;57;17","Once it was that the time was never to fail, you know, when the it was all over the country and, and that was probably we didn't get enough of it. Just like I said, maybe there's some of those that too many of them didn't have. They didn't know enough to come out of it."

"Sam Schrager","00;20;57;19","00;21;04;27","I want to ask you about your wells in the Wells and the Wells family. Did did you remember them very well?"

"Ruth Olson","00;21;05;00","00;21;09;13","Well, it is this thing. Yeah."

"Sam Schrager","00;21;09;16","00;21;11;28","But. But I don't think you."

"Ruth Olson","00;21;12;25","00;21;41;01","know, Yes, I remember them and they were well liked and everyone, you know, they all respected them, so they were just included. You didn't think you were coming in at all and I did. We didn't have much contact with them, you know, except for the kids in school. Now, Louis Stern and Billy or in school or the school, when I was in there."

"Ruth Olson","00;21;41;03","00;22;24;06","Of course, you they went with them that before. I don't remember. Or would even get there from his class. I don't remember. I remember going up there, went to, I don't know, meeting camp, our grove or something of them up there, their home, things like that. Up to Mary and Billy. I remember one time and the school one was one and we just thought Billy was wonderful and packing around on his back all the time and one day he'd been packing around and, and Billy came up to me and he says, he says, they say I'm a nigger and I'm not in my head."

"Ruth Olson","00;22;24;10","00;22;34;22","But he he just felt that he was just accepted that way, you know? And he was they weren't feeling any department."

"Sam Schrager","00;22;34;25","00;23;00;15","Well, I don't know to me that they're one of the most interesting families that I've heard about. And and know there's so much race prejudice. I mean, it's so much part of American history that that that to see how there are and there also are not very many Negro pioneers in the West. So there's not too many out here."

"Sam Schrager","00;23;00;17","00;23;11;00","So to see how they how they were accepted is really is really and what they were like is people are real important. Well."

"Ruth Olson","00;23;11;03","00;23;31;16","You think that they were brought out here by their white masters, you know, that they got enough of them to bring them out and set them up out here, too. You know, that they were pretty rough, but don't you have that or others that you've talked to about. Well, isn't that the general feeling? Yeah, right."

"Sam Schrager","00;23;31;17","00;23;33;16","That's very, very well accepted."

"Ruth Olson","00;23;33;16","00;23;39;16","And very well thought out by all the people."

"Sam Schrager","00;23;39;19","00;23;44;05","And it doesn't stop there from being some some racial jokes that."

"Ruth Olson","00;23;44;11","00;24;22;10","Well that's true, you know, or any part, no matter what nationality or what country your ancestors are from, why they jokes about them right then like I say to me is just like that. They have the Negroes. I think it's just the ones that are trying to stir up the trouble. But, you know, like Little Langston was like your little story that you aren't supposed to read to kids in school."

"Ruth Olson","00;24;22;10","00;24;48;03","And they like that because racial stereotypes. Yeah. But now they have look at Haiti. That's a story of a little girl and it is. That is a wonderful story. And to me it's the same in the Whites. That was little Boy, there wasn't anything wrong when they were in like that. But still, why shouldn't children hear that story?"

"Sam Schrager","00;24;48;05","00;24;53;01","I think maybe that story had connotations from the South."

"Ruth Olson","00;24;53;04","00;24;54;06","Well, probably."

"Sam Schrager","00;24;54;06","00;25;11;04","That ah, when people some people think of it that way and not as a story, but. But I see what you're saying. Yes. What was one? Do you remember Mary being like the person she was."

"Ruth Olson","00;25;11;06","00;25;45;12","Well, to me she was very, very hard working and she used to run the of war. He is going do things for that kind of thing for folks, housework, washing and ironing. And to me, she so she was always very kind. She was a person that I think everybody like really fellow Joe. Joe. Well Roy Roy."

"Sam Schrager","00;25;45;14","00;25;48;15","Was Chuck and Roy were the brothers. Yeah."

"Ruth Olson","00;25;48;17","00;25;50;08","And then."

"Sam Schrager","00;25;50;10","00;25;50;24","Joe was the."

"Ruth Olson","00;25;50;24","00;26;10;18","Father and the father years and they were all together. You know, they live. They're so great. They go home or they just never do this. That time, it's been one of the biggest houses in the country there on the Hill."

"Sam Schrager","00;26;10;20","00;26;17;14","Do you have you heard about the starting of the school that why they called it that? Well, school."

"Ruth Olson","00;26;17;17","00;26;42;15","Historically, I imagine so. You know, up there I close to the Wells place. Yes. It was on their land, I imagine because of Mary. I lived in the school house after it was and weren't there. They built the new school or the old schoolhouse."

"Sam Schrager","00;26;42;17","00;26;56;22","I hear a lot about about Joe and the boys drinking. And I sometimes wonder if it's exaggerated or we really or it's hard drinking. This is some people I know."

"Ruth Olson","00;26;56;24","00;27;15;15","Every month and I can't remember, can't go round and round, you know, round them enough that we would really know they were the boys were up there on the farm most of the time. I guess. And that I wouldn't know."

"Sam Schrager","00;27;15;18","00;27;30;14","Do you think the local people ever would defend them against, you know, prejudice from the outside, You know, people elsewhere who don't know them and thing?"

"Ruth Olson","00;27;30;16","00;27;56;00","I think the old timers, the ones that were around here at that time especially, would I don't know about the present day people, but I think the ones that were here at that time were have don't you know, seem to me like they would, because they certainly were well, far."

"Sam Schrager","00;27;56;02","00;27;58;07","Very, very down the line here."

"Ruth Olson","00;27;58;10","00;27;59;02","No."

"Sam Schrager","00;27;59;05","00;27;59;21","No."

"Ruth Olson","00;27;59;24","00;28;18;09","She went to Poland and she I think so I think she went over there, started working at the college or something. I wouldn't say that as a fact, but I believe that's where she was. Some people weren't really certainly know the rising thing or."

"Sam Schrager","00;28;18;12","00;28;28;07","Or what is there was a relationship there with the store and helping out who ran that there were were there a black person in the store there? Helen."

"Ruth Olson","00;28;28;09","00;28;43;03","Mildred. Mildred, who was Chuck's wife, wasn't that in not Yes, No. And Chuck Prominent. How did Dan Ross get? Well, Dan was married to Mildred or was."

"Sam Schrager","00;28;43;05","00;28;49;00","There was after she was who? Dan Ross. Was he a local?"

"Ruth Olson","00;28;49;02","00;28;57;13","He was raised up by him."

"Sam Schrager","00;28;57;16","00;29;04;26","Or which me."

"Ruth Olson","00;29;04;28","00;29;09;27","Quote. Families are also sort of like their own home."

"Sam Schrager","00;29;09;29","00;29;19;23","Were were wishy washy. They're a Hellman for a long time and very long and she and and Chuck split up."

"Ruth Olson","00;29;19;27","00;29;32;11","Quite a while, you know, until her death I guess she was there and that was Oklahoma years ago. And every time."

"Sam Schrager","00;29;32;13","00;29;35;08","I was she was local. Right? She was from somewhere."

"Ruth Olson","00;29;35;15","00;29;43;17","Yeah. So sometimes they off I don't know where."

"Sam Schrager","00;29;43;20","00;29;50;21","I imagine there must have raised some eyebrows. It could even today, you know."

"Ruth Olson","00;29;50;24","00;30;03;02","Well, I guess that's to be in with maybe in some cases it is. But I think they would just accept it and."

"Sam Schrager","00;30;03;04","00;30;18;15","It's funny because I had heard about there being a Negro woman at death's door, and I did. I never thought to ask anyone who."

"Ruth Olson","00;30;18;17","00;30;31;17","Because most time they were up there. That was after we were away teaching or at school or something. We went around here to my hearing of years."

"Sam Schrager","00;30;31;19","00;30;47;16","Do you remember the fire very, very well that morning in 1923? I think that was the year that was what was the most serious of the."

"Ruth Olson","00;30;47;16","00;30;50;03","Yeah. Yes, we were in."

"Sam Schrager","00;30;50;06","00;30;54;28","You do."

"Ruth Olson","00;30;55;00","00;31;18;10","I remember we woke up in the middle of the night for some plains and and about that time with the fire was the hardware store and then of course they carried ammunition and stuff there and things started popping. And the first thing I thought of one, a very good friend of mine was staying down there with her uncle there."

"Ruth Olson","00;31;18;13","00;31;43;13","And I was really concerned if she was out my ride and there wasn't much and it just burned down. And I remember standing in the window at home and watching it there were, you know."

"Sam Schrager","00;31;43;15","00;31;46;11","And then there just wasn't much water."

"Ruth Olson","00;31;46;13","00;32;02;06","Well, there was they didn't have a system in that warm water system. They used to have a town well down back of the city hall now. And many people carry water from down there."

"Sam Schrager","00;32;02;08","00;32;07;02","I was reading it, were looking through some of the very old dairy papers."

"Ruth Olson","00;32;07;05","00;32;08;18","Over just now in."

"Sam Schrager","00;32;08;18","00;32;18;01","The university library and microfilm. They happened. And in 1908, the editor, Peter Peterson."

"Ruth Olson","00;32;18;08","00;32;19;09","Jane Peters."

"Sam Schrager","00;32;19;12","00;32;30;20","Was was calling for, you know, getting a water system because of the fire danger in the town. 1908 He's talking about it right that way back then."

"Ruth Olson","00;32;30;22","00;33;00;05","His son lives in Spokane. I guess what I'm saying was no one was smart enough not to be. I worked for him when I was in high school, Saturdays and after school I sat on all the typed by hand and distributed it all by hand and by the local paper. They had a that's for you, Mr. or Frank Davis and the like."

"Ruth Olson","00;33;00;07","00;33;10;10","And they managed to find right things. Rain Man was turned off at 10:00 at night, from night after clock."

"Sam Schrager","00;33;10;12","00;33;13;20","Were you paid for doing that? That worked for the newspaper."

"Ruth Olson","00;33;13;22","00;33;24;04","$0.25 an hour. And then I worked all day Saturday, 8 hours per dollar. But even I worked after school. I got $0.25."

"Sam Schrager","00;33;24;04","00;33;33;25","Now, do you actually set the tape yourself? Yourself, without paying for a going concern? Did he have other work?"

"Ruth Olson","00;33;33;25","00;33;48;13","Besides, he didn't have other work, but he lived on a shoestring, I think. I don't think he made enough to really make budgets. And my father marches along. Yes, that's right. People were more satisfied with then."

"Sam Schrager","00;33;48;15","00;34;02;16","Well, I just you know, I've I've heard and read elsewhere how how the early day newspapers in a small town really were just a kind of marginal affair. I mean."

"Ruth Olson","00;34;02;19","00;34;28;14","His hands on paper, I was trying to find a couple of high school annuals to show you one of those in here to show you the number of businesses in period of time was really surprising. They Had a shoemaker and they had a piano bar, a music house or a store. And really surprising the number of businesses going in."

"Ruth Olson","00;34;28;16","00;34;29;29","Have you ever seen one of those annuals?"

"Sam Schrager","00;34;30;06","00;34;31;28","No."

"Ruth Olson","00;34;32;00","00;34;51;26","I saw one of them there. That is the Court He got some legal notices. I remember that. That was one thing we had to be very careful about with the legal notices. And they were said in some little tiny fine type that took forever to get anything done, but they were seven different type."

"Sam Schrager","00;34;51;29","00;34;57;02","I thought that was really important to to those legal notices were a kind of steady income, right?"

"Ruth Olson","00;34;57;02","00;35;30;06","Well, that that's right. They were they were all sure of that. And we did have some of those. But when I was playing basketball and I go down for school in the morning so I could practice basketball at five, get up and down here an hour or so before school. The telephone company that was owned by Bill Smith, that time I went garage Guy, he printed those down there."

"Ruth Olson","00;35;30;06","00;35;30;19","Give me."

"Sam Schrager","00;35;30;22","00;35;43;02","Yes, quite a few."

"Ruth Olson","00;35;43;04","00;35;46;27","Surprising, you know. And then."

"Sam Schrager","00;35;46;29","00;35;55;23","Quite a few."

"Ruth Olson","00;35;55;26","00;36;18;27","Went to this one. Yes. That was Larry's first basketball team. And I took it down to Russell Foster and he really well, and some of the kids came in while I had a thing around. They thought that was something that I that's all they had on the team with my players and."

"Sam Schrager","00;36;19;00","00;36;20;07","While there were more girls."

"Ruth Olson","00;36;20;12","00;36;31;15","Yes, I know boys."

"Sam Schrager","00;36;31;18","00;36;50;06","Well, I'd like to to you know, know some of what? Of what it was like, what kind of activities there were in India when you were just, you know, teenagers growing up. What there was to do, the small town in those days."

"Ruth Olson","00;36;50;13","00;37;10;04","There weren't many things. Like we said, we made our own entertainment. We went out, we played games, we had costume parties, we had home parties, you know, where they they'd or maybe a school party at the schoolhouse during school term. But they didn't have to have somebody entertaining all the time."

"Sam Schrager","00;37;10;07","00;37;12;00","There wasn't much organized."

"Ruth Olson","00;37;12;02","00;37;38;24","No problem other than, you know, like she said in the schools, they had parties and in the homes. So many of the parents I know, they'd say, well, they'd rather have a party in the home and know where their kids were than to have them out someplace and not know where they were. For maybe one week they'd have a party at one person's home and maybe the next week somebody else it."

"Sam Schrager","00;37;38;26","00;37;40;02","It be dancing."

"Ruth Olson","00;37;40;04","00;37;46;28","Or games, more games. I think dancing was a party game."

"Sam Schrager","00;37;46;28","00;37;48;21","What kind of party games are you."

"Ruth Olson","00;37;48;23","00;38;16;17","All skipped Malone? Well, it's practically the same as square dance. Yes. And at that time they called it I know the first time I am. My folks don't approve of dancing. And I went out to Texas for the country school. And I'm very good friends. And I used to spend the weekend with her. And we went down to the schoolhouse and all that that kept coming on."

"Ruth Olson","00;38;16;19","00;38;42;20","I can't remember all of them, but they were practically the same as the square dancers like in there. And I told mom, What if they played those things up there? And and of course, that was just about wrong, I guess. I don't know, because it was so much like dancing. But, you know, in a way I can't remember when come on like that."

"Ruth Olson","00;38;42;21","00;39;14;17","I mean, that was one where you stand, you sit in a chair, in chairs in a circle, and the girls, the chairs and the boys stand back for them. And if there was only one more in the chairs. No. Yeah, well, one lesson. One lesson. The chairs and the ones standing up and the one that didn't have a partner, someone in their chair, They'd look at one of the others, and then they were supposed to try to get away and get over that chair."

"Ruth Olson","00;39;14;17","00;39;22;23","But if they, their partner put their hands on their shoulder but they had to stay there, that's one thing. But some of the others I can't remember."

"Sam Schrager","00;39;22;24","00;39;27;17","But why? Why we folks opposed to dancing?"

"Ruth Olson","00;39;27;19","00;39;32;21","Well, I don't know. A lot of them, I think, were in the early days."

"Sam Schrager","00;39;32;21","00;39;44;12","You know, I've heard it. I know I've heard it before. And, you know, I wonder why. You know, I figure that they must've thought it wasn't you know, it wasn't moral for some reason. Or was."

"Ruth Olson","00;39;44;15","00;39;59;22","It? I Don't know. A lot of them were. And later the folks, weren't they? We went to the school dances and and we went to Grange all the time and they went and and they danced at Grange after Grange meetings and things like that. But that one time they were."

