speaker,timestamp,words,End Time

Ione Adair or Bernadine Cornelison,00:04:46,The this was the business and the residence section for for this side of town.,00;04;52;14
Sam Schrager,00:04:52,"Well, that seems like quite a division in the town in those days, really. It was like two different towns then.",00;04;57;27
Ione Adair or Bernadine Cornelison,00:04:57,Touched back and forth. Then they don't know. We don't know any of the people up there now. But at that time the school was smaller and there were fewer people and teachers and professors in it than there are now. And they mingled with the people on this side of town. They were a part of the town.,00;05;23;01
Sam Schrager,00:05:23,What if a woman on this side of town wanted to visit your mother on the on?,00;05;29;06
Ione Adair or Bernadine Cornelison,00:05:29,"Well, I suppose you'd have to call and ask, see whether it was permissible to come over on that day or not. But they had certain days by which they would be at home, and everyone on that side stayed on their side of town for at callers. On a certain day I will tell him how mother served at one of those afternoon tea things. Mother served. Honey, do you remember what mother served one time?",00;05;59;29
Sam Schrager,00:06:00,Did she tell you? No. I like to know.,00;06;02;17
Ione Adair or Bernadine Cornelison,00:06:02,"But we stirred. Was something special. They had just brought in canned pineapple. That was something most unusual. The most people. Until that time, people didn't have anything like that. Pineapple was something which they didn't know a thing about. And when they set their table outside this basement door down here, they put their long table and it all decorated and fixed up pretty. And when they set out and brought them out on each little serving dish was a slice, a piece of lettuce, and a slice of pineapple. And on top of that, a slice of banana and salad dressing on the top of that. And that was their dessert for that date. Pineapple. No one had had pineapple before. You know what they were really.",00;07;01;03
Sam Schrager,00:07:01,It was the first time they'd ever had it.,00;07;03;09
Ione Adair or Bernadine Cornelison,00:07:03,"First time we'd ever had pineapple, then the first time we ever saw pineapple. My father was always eager to get something different. And so one day he came home with his wild looking thing and we didn't know what it was. It was a fresh pineapple, and we didn't know how to attack it because it has all those swords and leaves and things. So I think Miss Sweet Sweet knew how to approach it with a butcher knife. The librarian. And she was living in the southeast southwest corner bedroom upstairs, and she came down to see if she could tell us what to do with pineapple. She had seen it book served somewhere. I don't know where, but she said you had to slice it down this way and cut down deep enough to get under the. What are the peeling? What is that little part? It's a core that goes in. And if you had to slice it down that way and then turn it over and cut it in small slices the other way, and that's the way you served your pineapple. Well, we've earned long since a much easier ways of doing pineapple than that.",00;08;20;16
Ione Adair or Bernadine Cornelison,00:08:20,But we did the pineapple and we got the pineapple and we served the pineapple. That was later.,00;08;26;15
Sam Schrager,00:08:26,"And well, I want to ask you, what was the purpose of having such a large gathering all at one time like that? Was it a special occasion?",00;08;36;26
Ione Adair or Bernadine Cornelison,00:08:36,"No special occasion, excepting that mother was indebted to lots of these people on the other side, and lots of people in town. And Mrs. Hannah that lived in the Schultz house, just across the driveway on that slate colored house appeared, was also invented to the people. So they decided that they would go together and would serve an afternoon tea in the garden. It was pretty cool. So that's star shape and crescent shape and a bit of a little gravel paths that went down around to the different. That fascinated me a little… bit.",00;09;21;26
Sam Schrager,00:09:21,"So. So it was really a garden, a real yes.",00;09;25;11
Ione Adair or Bernadine Cornelison,00:09:25,This whole.,00;09;25;22
Sam Schrager,00:09:25,Thing was large garden.,00;09;28;09
Ione Adair or Bernadine Cornelison,00:09:28,"It's hard to believe now that at one time that there was a double row of trees along this side between what would be the building now and the street, there was a double row of box elder trees along there. There was a row across on the north under two large walnut trees out there, which were a part of that at that time. And on the south side of the house was another double row of box elder trees. So the place was very shaded and very cool in here during the, during the summertime. That's where my, my father had his snapdragons, my mother had her bills.",00;10;21;17
Sam Schrager,00:10:21,Did you spend much time out of doors in the summer? Did you spend much time when you were here out of doors and out of door in the in the garden?,00;10;29;25
Ione Adair or Bernadine Cornelison,00:10:29,"We were at home. We spent a great deal of time around in the yard. I had always had sweet peas, a long, low sweet peas, but I don't care the roses she has since she was a child. What? I say you took care of the rose beds. You loved the roses. Did you? I had a rose bed. I think now that they had dug up the south, the upper portion of the south yard and the back in the. What is the back yard? And I think Mr. Karmic had built a big garden in through there and has all kinds of plants in it and then back across. Well, I hired a man from Genesee to come over and plot the ground for me, and my father bought rose bushes and put on the upper side next to the street. And I bought tulips and daffodils and put them along the edge of the wall. And the gardener brought in from the woods wild bleeding hearts, while ferns and other small plants that he could get. We had a wall that was possibly close to two feet high at the edge of the Roosevelt as it came into the under part of the garden, and.",00;12;16;16
Ione Adair or Bernadine Cornelison,00:12:16,"Daddy got us a swing. One of those that is up on standards and two seats and swinging back and forth, that was out of that. And around that maple tree that's out there. Now. The gardener built a little fence on the seat around the maple tree and about the center of the garden outside. I had a bird bath, and it was a Willard pottery. If you know the Willard pottery, I don't know whether you know anything about Weller pottery or not. Very right. The birdbath did. High and on top of the birdbath was a statue of a little goose boy with the goose in his arms. You've seen pictures of him, I'm sure. Well, that was my birdbath up there. My mother every night made it a special trip down into the garden to pick up the goose boy and bring him up on the back porch for fear someone would walk up with him in the night.",00;13;27;29
Ione Adair or Bernadine Cornelison,00:13:28,"We still have a goose, but. I still had the goose boy. And the bottom part the standard of the bird bath. But our neighbor had a great big mastiff dog, and he got thirsty one by and came down and raised up on the edge of it, knocked the goose boy off and also the bird bath, and broke the birdbath into many, many pieces.",00;13;56;18
Sam Schrager,00:13:56,And did you have many birds using it?,00;13;59;12
Ione Adair or Bernadine Cornelison,00:13:59,"Yes we did, we had. We've always watched an old woodpecker ever since we've been in that house, and since we moved over here, he's always had a nest in this first poplar tree out here, the tall one that stood up but sells the last one. He always nested in that tree, and you could hear him calling every morning, bright and early, and hear him give that call to the other woodpeckers around. There was one woodpecker that had a nest in the. What was the bell tower of the Lutheran Church, which is now the Senior Citizens building, and he had a nest in that in the tower of that. And he used to call back and forth these two, two old woodpeckers. Tom, about what chased the woodpecker. All of the woodpecker came back really one spring and started his building up there. The robins came a little later and they started building, but they built in the poplar tree to the south of the row of trees. The woodpecker had the one to the north. The robins didn't like the woodpecker. And so every time the woodpecker appeared out here, the robins are tackling them, and they would just go for him and made it very uncomfortable for him. One day we heard quite a racket outside and we went out to look, and the robins were chasing the woodpecker and the woodpecker flew off and he was gone for quite a little while. And finally back he came and he had reinforcements. This time he had 4 or 5 woodpeckers with him. And the what they did to the robins, you can tell you. That it was hard. He just went for those robins. Well, the robins finally decided that they would keep the lower tree, and the woodpecker could have the upper tree if you wanted it, and the woodpecker stayed.",00;16;10;17
Ione Adair or Bernadine Cornelison,00:16:10,So we now have a big squirrel. It goes up and down the tree.,00;16;15;17
Sam Schrager,00:16:15,"You know, I wanted to ask you about the porch. About the porch? Did you did you use the porch very much? The front porch? Yes.",00;16;25;29
Ione Adair or Bernadine Cornelison,00:16:26,"This little front porch. The front porch was much narrower than than it is now. And we had room for a seat or couple of chairs out on the porch that we used. At this end of the porch was the what Mrs. McConnell called her birdhouse. It was enclosed and had a door that came in from the from the porch into it. And they could also go in through the base, the bedroom window into this enclosed port. It was glass and she had geraniums and I. Thought she called her. Circle and birds. She called it her birdhouse.",00;17;13;16
Sam Schrager,00:17:13,She had birds right inside there.,00;17;15;17
Ione Adair or Bernadine Cornelison,00:17:15,"They had birds, but I think it was a parrot, but I'm not sure… maybe… i'm not sure. But she had she had birds, or at least one bird that I knew of. She had a house there for the birds in that enclosed porch. Well, when Mr. Doctor Church took the place over from the Jacksons, when they moved to Colfax and he decided the porch wasn't wide enough… he set… out there. So he hired a carpenter to widen the porch and put it out to the to the width that it is now, and had the steps come up as they do now, which they didn't come up that way when when we were there.",00;18;06;17
Sam Schrager,00:18:06,But how did they come when you were there?,00;18;10;08
Ione Adair or Bernadine Cornelison,00:18:10,"They came up, but it was straight, old fashioned steps. And now it's an enclosed, pretty nearly enclosed. It's so much so that you had to shovel the snow before you can get up and down the steps in the, in the winter time.",00;18;24;27
Sam Schrager,00:18:24,"Well, what did you do with that space that Mrs. McConnell used for the birdhouse porch?",00;18;31;05
Ione Adair or Bernadine Cornelison,00:18:31,"We just used it to put the chairs or things that we had or plants in it, and just used it as a storage for plants and other things. But it was the end of this part. And then Doctor Church had to fix. He had the carpenters duplicate the kind of fancy, what do you call them? Supports the railing. You didn't hear you Bernardi. Doctor church had this carpenter duplicate those. The other what do you call the things that come from the railing down to the porch?",00;19;12;14
Sam Schrager,00:19:12,"You know, I shouldn't. Yeah, I know what you're talking about.",00;19;14;16
Ione Adair or Bernadine Cornelison,00:19:14,"Well, yeah… he had… that… had it all duplicated… insisted… they had to do special work on it, but he had the railing duplicated, the one that was on before. So it matched the small porch to the, to the south of it. And at that time there was a railing all the way around the upstairs porch, the top of the porch, tall railing of the same, same. What do I mean? Style parts railing duplicated… the ones down… below used to climb out the bedroom. It was a little an end to the cells, really.",00;19;58;00
Sam Schrager,00:19:58,You would sleep on the upper column?,00;19;59;22
Ione Adair or Bernadine Cornelison,00:19:59,"Yes… we used to sleep up there. Worried mother, but we'd love to. It was just like an. Idol was scared to dance before I'd get up and walk off that porch someday.",00;20;08;10
Sam Schrager,00:20:08,But it did.,00;20;10;05
Ione Adair or Bernadine Cornelison,00:20:10,"Happen, and I just. I stayed up there. We put our blankets outside there and sleep in the summertime.",00;20;16;12
Sam Schrager,00:20:16,Be nice and cool.,00;20;17;18
Ione Adair or Bernadine Cornelison,00:20:17,"Yes, although we were usually out by Bovill in the summer. But yes, it was a lark to get out of there.",00;20;22;16
Sam Schrager,00:20:22,Oh that's nice That must have been really nice.,00;20;25;26
Ione Adair or Bernadine Cornelison,00:20:25,"Oh, that was pretty good. But we enjoyed it. And we'd slip out there whenever it got hot in the house. We'd never suffered from the heat in the house because the ceilings were so tall. Trees. The house, it just never got hot. If you'd opened the front doors to the front door, to that little porch and the front door to this porch on this side, and a door on the other side, and open up all the wind doors and the windows, and your house would cool off very quickly. Did I only ever tell you what kind of trees were planted in that long? No time. Of the kinds of trees that were planted over in front of the big house, the kinds of trees. The kind of tree who… were… planted in the yard over there? Oh. We took over the the place from the bank. There were I told you, there was a double row of poplar trees around the south side.",00;21;36;02
Sam Schrager,00:21:36,"There, and the north side.",00;21;38;21
Ione Adair or Bernadine Cornelison,00:21:38,"Before I had my garden made in the outside and had the the man working on it. There was a mulberry tree and Welsh, a mountain ash tree, and another small tree of some kind. And in the front yard was an elm tree and catalpa tree, that is a mulberry tree in in this front yard here, and 1 or 2 other trees, and along the top of the wall was a whole row of. Lawless. And I'm trying to think of the state, serene and syringa along the top of the wall out here.",00;22;38;13
Sam Schrager,00:22:38,"Well, what about like the trees that are there now? Those those big trees in front? They.",00;22;44;19
Ione Adair or Bernadine Cornelison,00:22:44,Were what we left in that cleft.,00;22;47;17
Sam Schrager,00:22:47,"The big trees that are in front now, were they there when you when you first.",00;22;51;20
Ione Adair or Bernadine Cornelison,00:22:51,When we took it over.,00;22;53;12
Sam Schrager,00:22:53,Were they small at that time.,00;22;55;16
Ione Adair or Bernadine Cornelison,00:22:55,"Novellas. Yes, they were they. I was trying to think I have pictures of different places around in the yard that show the size of the trees at that time. The tree. Sam, I saw you kind of raised an eyebrow. It has the most beautiful foliage. It had leaves with that large, just velvety big green leaves. And then the flowers came out on a long stem with little flowers, kind of like a locust blossom. And my favorite pastime when I was real small, was to get one of those leaves and make a hat and trimmed with a different part of the garden. But I always looked forward to those. You know, it could tell the tree, you know what it is. You know the Snapdragon, not the snapdragon, the box of blossoms. You know the fact of blossom. Well, they're all about that long. The catalpa is, or at least that long. And they were spotted inside like a box. And you put one inside of the other and you could make a wreath out of them, out of those. And Bernardine and Marjorie used to make wreaths and hats. I said, the catalpa tree and the little maple tree that is south of the house now is a large tree, a very large tree.",00;24;22;16
Ione Adair or Bernadine Cornelison,00:24:22,"But when we had old bird bears, our little pet bear, he got loose one night and climbed the tree. My father wasn't good at climbing, and he couldn't figure out how to get that bear down out of the tree chain column around the branch. He went way up into the top, and then he got his chain caught on the branches, and dad knew he never could get up that high to get it. So what did he do but call the firemen? And the fire brigade came up, and the men went up the tree and cut the bear loose and brought him down. So it was.",00;25;09;15
Sam Schrager,00:25:09,You know.,00;25;10;03
Ione Adair or Bernadine Cornelison,00:25:10,But that was a very small tree at that time.,00;25;13;18
Sam Schrager,00:25:13,Did did your folks look at the house as a very special place when they lived in it?,00;25;21;19
Ione Adair or Bernadine Cornelison,00:25:21,Did our people?,00;25;22;18
Sam Schrager,00:25:22,"Yes. Did they think of it as a, as a, as a.",00;25;25;08
Ione Adair or Bernadine Cornelison,00:25:25,"Very we got it as a home, nothing historical or anything like that, because we knew that my father had turned his timber claim over to the bank in order to take possession. Mother, one or more room. And mother had so much room then that she couldn't use all of it. And so anyone wanted a room. She was very graciously love. She was upstairs. We had Doctor Cogswell of the University Music department. He was the first professor in music for piano only. He had no voice but piano only. And Miss Sweet, who was one of the first librarians, also had a room upstairs. And Doctor Gurney took the room after Miss Sweet left. And then we had then another room upstairs was rented out to Pearson, the man that made the bargain between the father and the bank for the for the transfer of the timber claim for the house.",00;26;48;15
Ione Adair or Bernadine Cornelison,00:26:48,"And he wanted the he said he wouldn't wouldn't bargain with my father unless my father would promise him that he could have a room in the house that he was staying at the hotel, and he didn't like Hotel Light, and he wanted a room where he would have a private room of his own and so forth.",00;27;08;16
Sam Schrager,00:27:08,"Bernardine, when you say that your mother was particular, what what were what were her standards for these?",00;27;16;04
Ione Adair or Bernadine Cornelison,00:27:16,"Well, someone came along. I like Professor Castle or Larry Gurney or Miss Sweet that she liked. They would come and ask her if she liked them. She'd take them, but she just didn't take somebody that came along. She had had some special position and background. This old music professor, Isaac Cogswell, was quite a character. He loved to give teas and he had a little plate upstairs and he had heat, tea, water on, and he always would buy some little cookies or cakes downstairs downtown and serve tea. Anyone that came in, and many a Sunday evening he'd come down and say, I have cakes and tea. Come on up. We'd all go up and sit around on the floor and Doctor Caldwell's room and drink tea, and he bought cookies. He composed the piece and dedicated it to me. To. I remember now.",00;28;16;27
Sam Schrager,00:28:16,Even remember the piece.,00;28;18;05
Ione Adair or Bernadine Cornelison,00:28:18,"No, he was quite a character. I was too tiny. We never thought about it being anything unusual. As far as House was concerned, it was the largest house in town. However, with the exception of the old Llewellyn, the Woodruff house down here. Now that that house in this house were the largest houses that were in town, and we never objected to mother having rumors because we always got the choice of anyone. At one time it wanted the room when he had this music with her and he had his big. Piano, he had a big Steinway, PolyGram, Steinway, and he took it up the stairway and put it in his room. And he had this in his room up there. And the other was a Doctor Gurney and the physics department, and he was with us for. Ten, ten years, at any rate. And Miss Sweet was with us for at least ten years, a different times, these different people.",00;29;36;18
Sam Schrager,00:29:36,"But in other words, there was there was great demand to have a room in the house. You could have rented a room easily anytime.",00;29;43;29
Ione Adair or Bernadine Cornelison,00:29:44,"More, but she could have rented it to anyone. But she always got someone that was. And they were people we enjoyed and people that was Marjorie and me who were kind of youngsters. We learned a lot from them. Well, from this piano instructor, he created a great desire for music. Mr. Gurney was an avid Victrola player. He had all the operatic graduates. I heard all these lovely operas and things from his side when he was there, and the sweet that got me so interested in books of when I was in college. I worked in the library one year, which was very interesting.",00;30;26;16
Sam Schrager,00:30:26,"Well, does that mean that that you would trace your interest in music to that, to their influence?",00;30;34;02
Ione Adair or Bernadine Cornelison,00:30:34,"Well, mother was very musical. She never was a performer, but she was very musical, very naturally musical. But I was brought up with this hapless fear of music and books from the house.",00;30;46;20
Sam Schrager,00:30:46,"Was there much was there quite a bit of interacting between between you girls and the family and the borders? I mean, did you was there a social?",00;30;57;29
Ione Adair or Bernadine Cornelison,00:30:58,"Yes. It was that type of rumor. I mean, they would stop it in chat or come down with it. They had something new or a new record or something. They were nice people.",00;31;12;15
Sam Schrager,00:31:12,"You know, when we were talking about the party a while ago that she had, I was wondering if you could, give me an idea of what? That you would talk about, what the sorts of topics of conversation would be at a social, at a social gathering like that?",00;31;31;06
Ione Adair or Bernadine Cornelison,00:31:31,"I couldn't really tell you that. I can tell you one because I started with them all. I was about seven, I guess, or eight, and very much of a believer in what was said to me. The doorbell rang and I was the kind of answered the door and see that people got to the party. And this was the day of the circus in town, and this band came to the door, this big brass spear like thing. And he said, I have a dandy lion killer. Would you be interested in buying one? Well, he just started with the life of me. I tore down to the mother. There's a man who wants to send us a dandelion killer instead of dandelion. I got a dandelion killer, and I was. I was a topic of conversation for a while… yeah.",00;32;18;08
Sam Schrager,00:32:18,What was he doing with a long speech?,00;32;20;02
Ione Adair or Bernadine Cornelison,00:32:20,"What was the circus? Was. He was with the circus. But, see, we had seen the circus, and I thought he meant to kill lions, but he bent to the ground and get the dandy line, which another time a man came that her mother had taught us never to. Foster Wallace, who played cakes or cookies, was served to take the most available, and instead of pouring down through to get something underneath. So that was firmly implanted in my code of ethics. The man came with a box of pins, fantasy pins. There's turtles and grasshoppers and all kinds of things. The thing I really wanted was a turtle. I just loved turtles, but it was way down underneath, so I didn't dare go down through that to get the turtle. I took the grasshopper. But I love turtle services, one I just had for years and years and years. He's a cute little turtle too.",00;33;17;21
Sam Schrager,00:33:17,"Oh yeah, very cute. Really nice.",00;33;22;27
Ione Adair or Bernadine Cornelison,00:33:23,That's really why that key. I don't know whether it got inside.,00;33;27;07
Sam Schrager,00:33:27,It was the key.,00;33;28;02
Ione Adair or Bernadine Cornelison,00:33:28,But what does it do? I'll. Sometimes I'll head off.,00;33;31;16
Sam Schrager,00:33:31,"When people were socializing. Say the the women, would they, would they talk about would they talk about their children or talk about the weather or what would the topics at a party such as this be?",00;33;45;19
Ione Adair or Bernadine Cornelison,00:33:45,"How can you tell what a hundred women are going to talk about when they get in groups of the year? They just in a group over here somewhere and chairs. Each group would have something different to talk about. Either there is the difference in the size of the tone and the size, of course, and the roads and maybe books, everything else like that. I couldn't tell you what they talked about.",00;34;13;11
Sam Schrager,00:34:13,"I, you know, I didn't mean just then. I meant really more in general when they, when they were socializing.",00;34;20;11
Ione Adair or Bernadine Cornelison,00:34:20,"Would it be just, a social things that we have or contacts that we have with these people and we're always talking about so and so and how they behaved or why they behaved that way, or of course, there were not local things like television and radio. So there would be lots of Tom plays or beatings. I don't give dramatic readings for years.",00;34;46;21
Sam Schrager,00:34:46,And dramatic.,00;34;48;01
Ione Adair or Bernadine Cornelison,00:34:48,"Readings, reciting poetry things when.",00;34;52;28
Sam Schrager,00:34:52,On what kinds of occasions would you give them?,00;34;55;19
Ione Adair or Bernadine Cornelison,00:34:55,Oh.,00;34;55;26
Sam Schrager,00:34:55,They're dramatic readings.,00;34;57;14
Ione Adair or Bernadine Cornelison,00:34:57,"Dramatic readings. Oh, everything. I can't tell you a large meetings and get togethers. And once that had a one of the the old days are used to have a hall up over Hodgins drugstore where the J.R. is. And they always had their big bean seeds up in this hall and always had a program of some kind in the hall. And I gave recipes in there many, many times. I can't tell you all. Well, once I do remember giving me a recitation from the book of the Ben-Hur chariot race, one of those, and we were very fond of Eugene Fields and the O'Reilly poems and and so forth. And we had we had those who decided from those. What was that when you were doing the other night? The chamber Nautilus remembers those things. I'm just going straight through those poetry I fix. Amazing. That's why I get so angry when I can't think of what go down and wrote him. And.",00;36;20;05
Ione Adair or Bernadine Cornelison,00:36:20,"Someone won't be able to tell me. We had a puppy called Egan's Hall. It was a skating rink, part of the time, roller skating, and then other times it has a stage and other times entertainments were given there. We used to be the stopping place between Spokane and Lewiston for shows and then in between. Locally, people would give shows and one night whatever was going on, I don't remember, but I oh, gave a reading and she had tremendous applause. And I was about seven years old, 6 or 7, because daddy had taken me and I was so pleased and not astonished, but just so pleased that people just applauded Island. So I decided to write that I was going to do something to make people applaud for me. And I did a lot of a lot. But what did you do? I think she she was very instructive up here at the university. Well, instructor in Lewiston for a number of years.",00;37;25;03
Sam Schrager,00:37:25,"But you were only seven, seven years old.",00;37;27;13
Ione Adair or Bernadine Cornelison,00:37:27,"Well, I that was when I made my mind up that I was going to do something with people with a problem. For me.",00;37;34;19
Sam Schrager,00:37:34,It was really then?,00;37;35;27
Ione Adair or Bernadine Cornelison,00:37:36,"Yes it was. I didn't know what I was going to do, but I was going to do something I wanted to be like. I own applause. And the woman sitting there, I said. These things are coming back. These are not important. But the woman studying next to me always was very well dressed. I was I would have finished this good and I she was yawning about something, and I saw her take out this lacy lace handkerchief out from her cup for long sleeve, button, sleeve dress, and go. And I decided I must have a handkerchief like that. I don't think I ever had it, I just love her. I could play that now. I used to clean this. I find more funny things. I want you to tell him. If you don't have no special question, do you?",00;38;32;12
Sam Schrager,00:38:32,"Oh, I do, but what were you.",00;38;33;19
Ione Adair or Bernadine Cornelison,00:38:33,"Thinking of? Well, the other day I heard a telling a story that I had never heard before. It's very interesting about the McConnell's. Would that interest you?",00;38;41;22
Sam Schrager,00:38:41,Yes.,00;38;41;29
Ione Adair or Bernadine Cornelison,00:38:42,"Very much. But tell her about when they lived at Yamhill. And Ben. Tell him about when McConnell's lived at Yamhill. That's before they came to us. Oh, and about talking about. Yummy. No, I'm putting them days here. I haven't seen anything anyone tells about it. But McConnell was came from Yamhill down to Boise during the gold rush days, and he started in as a gardener. They're raising vegetable gardens in Boise. And then from that on up, he came up to this part of the country and then the senators governor. And there's no doubt on the right track that they they lived in Yamhill, Oregon. And at that time it was Oregon was not settled. It was the early pioneers. And the Indians used to come back and forth through there and were always on a rampage when they went through. And McConnell's had one son at that time, and young men had a Negro Indian playmate. And this he and this little Indian boy played together all the time with the little youngster, knew that the Indians were coming through that part of the country on a rampage. So he stole then and took him off into the woods and hit him and stayed with him until after the Indians had gone through.",00;40;13;06
Ione Adair or Bernadine Cornelison,00:40:13,"And then he brought him out and brought him back to his mother. I hope that was interesting. That was young Ben's experience with Indians in the beginning. And then from Yamhill, McConnell went as a young man down into the Boise Country. And he when he first went in, he was a he was a gardener, raised vegetables for those young mining people that were in that part of the country… and that was.",00;40;45;10
Sam Schrager,00:40:45,Did you ever hear about about his vigilante work down there? Because I've heard he he did quite a bit to clean up the country.,00;40;53;09
Ione Adair or Bernadine Cornelison,00:40:53,"Yes. We had I just put my book back yesterday. I was reading about the Digital Andes. He was at the head of the Vigil Andes for for I don't know how long, but they formed the vigilantes down there in order to, to counteract a lot of these bootleggers that were coming through and bothering the miners and all. And have you ever find out that in the Idaho history. Have you seen these Idaho history?",00;41;23;28
Sam Schrager,00:41:23,"I've never read it, but I've seen it tells about it.",00;41;26;23
Ione Adair or Bernadine Cornelison,00:41:26,"Though you find it, you find the two on the vigilantes in that book.",00;41;34;14
Sam Schrager,00:41:34,Did he used to talk about that in the in the old days. Did he here? Yes. Did he ever talk about.,00;41;42;00
Ione Adair or Bernadine Cornelison,00:41:42,No. He always had too many other things to talk about.,00;41;45;02
Sam Schrager,00:41:45,You did.,00;41;46;13
Ione Adair or Bernadine Cornelison,00:41:46,"About Mamie and Mr. Borah and the the family and all. They used to live in a small house that an attorney and Mr. Pickett built. That was on the lot where the Methodist Church is now. It was just behind the Methodist church when they built the parsonage in there for the church and the extension on the church, they took out that house that was there, the one that Pickett built and moved it up on the corner of third and not Van Buren third. And then it sets up on a slight bank there now.",00;42;33;11
Sam Schrager,00:42:33,Well.,00;42;33;18
Ione Adair or Bernadine Cornelison,00:42:33,"That was after they moved all the big house. That was that was after they moved. That's after we moved out to the after they, they first moved when they when they first moved, they moved to a small house right across the street here, this little Felton house. And that wasn't large enough for them. And when Mr. Pickett, something happened that Mr. Pickett sold the house down by the Methodist church, and McConnell's moved into that. Then they moved over onto First Street and the house, it was the. Can't think of the name of the house or the man that owned the house then. But at any rate, the house that stood where the this new attorney has sort of bonnets built to build an apartment there afterwards. And they moved they took torn down the old house the McConnell's approved in and McConnell's moved up onto the corner up here.",00;43;49;26
Ione Adair or Bernadine Cornelison,00:43:49,"When the house was moved, McConnell's moved with it, the one that they moved from behind the church, they moved with it up onto. He was a jolly younger man. When I was small enough to be bounced on his foot like he's had kind of big stomach. He you sing the song where the car cars to Banbury Cross and bounce me.",00;44;12;18
Sam Schrager,00:44:12,Up and down. What was the song?,00;44;14;07
Ione Adair or Bernadine Cornelison,00:44:14,Ryder Cup cars to Banbury across the sea a fine lady upon a fine horse. Rings on my fingers and bells on her toes. She shall make music or she goes.,00;44;24;22
Sam Schrager,00:44:24,What was the first line of that again?,00;44;26;16
Ione Adair or Bernadine Cornelison,00:44:26,Right.,00;44;27;02
Sam Schrager,00:44:27,A white horse.,00;44;28;14
Ione Adair or Bernadine Cornelison,00:44:28,"To Mary Cross to see if I, lady. Do you remember it?",00;44;31;26
Sam Schrager,00:44:31,"No, but it sounds familiar to me.",00;44;35;05
Ione Adair or Bernadine Cornelison,00:44:35,"And I surprised so many people. Never, never learned their, nursery rhymes. And they didn't have younger sisters. I own taught me. I was brought up on nursery rhymes.",00;44;49;12
Sam Schrager,00:44:49,"Well, was he.",00;44;51;05
Ione Adair or Bernadine Cornelison,00:44:51,"Was when he was young, man. You see, when I.",00;44;54;17
Sam Schrager,00:44:54,"Was young. Do you think that that, going having the bankruptcy, went hard with him. What do you think that him that going bankrupt was very hard on him personally?",00;45;11;29
Ione Adair or Bernadine Cornelison,00:45:12,I don't think so. I don't I don't think it bothered him very much. He they own the. We called it the modern Wheeler building. It's the old to tuna now he and and Mr. Maguire built that building down here on the corner of First and Main. Did he lose that too? Did he lose that? Yes. He lost that too. I think Hoover's a company by the name of modern Wheeler. And they were of the hoopers of Walla Walla that moved up and took over the old building at that time. And I think opposed to maybe time. I think of it. We used to live in the second house.,00;46;12;28
Sam Schrager,00:46:12,I think you told me about..,00;46;16;15
