speaker,timestamp,words,End Time

Arthur Sundberg,00:23:23:15,"Then these double cut saws. They didn't come into into play until. Oh, in the early 30s, you know, after the so-called depression, you know, in the 30s and after that was when these double cut band saws started being used in and they weren't used in all the mills. But then as the mills tried to modernize and and upgrade their, their production, well, then they put in these double cut bands and they could, they could use em on the same equipment that they had, with the exception of just few minor changes, you know, and.",00;24;24;25
Sam Schrager,00:24:24:27,"I wanted to ask you about that, finger language was that used very extensively in the mill.",00;24;32;09
Arthur Sundberg,00:24:32:11,"All over in the mill. They, they would tell stories and they would joke and they would swear and and they do everything, you know, with their fingers, that is fingers and hands, you know, they would you know, they had I never I never got very proficient at it because my work always was where I could talk, you know, I but then when I'd get up in where they were in the area where they were sawn, where there was all this noise, and of course, I would make a few signs if, if, if I want to do to some individual. But it was really fun to watch some of them, you know, that there was characters that worked there, that they carried on a conversation all day long. Just with their hands, you know.",00;25;36;11
Sam Schrager,00:25:36:14,"I'm just trying to feature how you can do that. I guess I can't know because I've never had to work in that, that kind of noisy.",00;25;44;18
Arthur Sundberg,00:25:44:21,"Well, of course I'd gotten a lot of it, but of course. That was one. Naturally. That's one and a half.",00;25;55;19
Sam Schrager,00:25:55:22,What's that? One finger out. And then the thumb up.,00;25;58;06
Arthur Sundberg,00:25:58:07,"At one and a half, you would let it be that it'd be a six quarter. You see that? You know, they they cut a lot of six quarter. And then of course, two, three, four, five, six.",00;26;12;08
Sam Schrager,00:26:12:14,Six is the fist.,00;26;13;14
Arthur Sundberg,00:26:13:15,Double fist is six. Well then of course this doubled. And then like that that was ten. See that was twice five. See that was ten.,00;26;24;13
Sam Schrager,00:26:24:18,Oh you wiggle your hand.,00;26;25;25
Arthur Sundberg,00:26:25:28,"Yeah. And four fingers down would be eight and, and all that stuff. And of course they'd done that so fast and they'd done with both hands, you know, and of course they, they'd rubbed their head and they'd rubbed their belly and they'd do all kinds of things, you know, and if the if there was some joker, you know, it was kidding. Some guy over there about the galley was out with last night. But of course, you know, this would be the girl that was out with, you know, or something like that, you know. Yeah, I had the head. Was fun to watch them.",00;27;06;15
Sam Schrager,00:27:06:18,This mean food.,00;27;08;25
Arthur Sundberg,00:27:08:27,"Well, yeah.",00;27;10;02
Sam Schrager,00:27:10:03,That's right. Could mean a lot of things.,00;27;11;22
Arthur Sundberg,00:27:11:22,"That's right. To they, you know, they'd rub their belly, you know, that, it was time to eat or something like that, you know, and, and of course, if they was going to sneak a smoke like that, you know that, of course.",00;27;26;11
Sam Schrager,00:27:26:12,Two fingers on them.,00;27;27;13
Arthur Sundberg,00:27:27:17,"There was a there wasn't any smoking allowed on the plant all until… well, it is… about 1926… when they, they built a lunchroom then for the men and they had that steam heated and and of course they could smoke in there. But before that they, of course, they, they'd done a lot of sneaking, you know, they would the fact of the matter is, there wasn't only, well, you might say wasn't any. Modern toilet facilities around the plant take from the time it started until, oh, up until in the. Middle 20s and early 30s. Did they even have water pipe? You know, for drinking water? They had water buckets and dippers all over. You know, everybody drank out of the same dipper, you know, and. For toilet facilities, they just had a building here and another building out there and, you know, with a hole dug in the ground and, and you'd sit on a two before, you know, the. And that's the way, that's the way it was run until.",00;29;12;21
Arthur Sundberg,00:29:12:24,"Well, you might say around between 1925 and 30.",00;29;21;07
Sam Schrager,00:29:21:09,What did the guys do for eating lunch and taking breaks?,00;29;24;21
Arthur Sundberg,00:29:24:28,"They didn't take no breaks. There was no such thing as a break. You had ten hours work and that was ten hours work. And the only break you got was if you had to go to the John and and if you went there too often, then you got that slip, you went and got your time and you were done. There was no such thing as breaks. And and as far as lunch is concerned, you know, the modern thermos bottle, it didn't come into existence until. Oh, about the time of the First World War, right after the First World War. But up until that time. All the men that carried the lunchbox, it would be just a big tin rectangular bucket with a tray on the top with what looked like a chimney. And this tree held their coffee or whatever they used. And then, of course, this looked like a chimney. That was a cup. You'd pull that off, and then you would pour your liquid out of this thing you see, into this cup.",00;30;50;04
Arthur Sundberg,00:30:50:06,"You probably seen pictures of dinner buckets like that. Well, in the wintertime. You know, those of us that carried coffee or if you had milk or any other liquid that would freeze solid in there. Well, there was a few places around the plant where they had steam traps would discharge, you know, into a barrel. And of course, that water was boiling hot all the time. Well, when that noon whistle had blow, well, first of all, you had to get in line to punch the time clock. You had to punch in the seven in the morning. You had to punch these time clocks.",00;31;50;25
Sam Schrager,00:31:50:27,"Seven in the morning, 12 noon, one and then six.",00;31;54;10
Arthur Sundberg,00:31:54:16,"Six at night, ten hour day. Well, 12:00 noon. If you happen to get quite a ways back in line for this time clock and your coffee was frozen solid, well, then by the time he got over to this barrel of hot water, there'd be a line up there. And then you had to wait your turn to get up there and hold this tree, this container of coffee down in this hot water to where you could throw it and heat it, you know, to where you like to have it. Then you didn't have much time left. Then you see, to eat your lunch. And of course, there was no way to throw your sandwiches, you know, and there was a few spots around where, of course, there they could set their lunch box so that it wouldn't wouldn't freeze. You know.",00;32;58;04
Sam Schrager,00:32:58:07,The men were working in below freezing temperatures.,00;33;02;29
Arthur Sundberg,00:33:03:06,"Oh, yeah. Sure, man. You know. You know, if these panty waists nowadays, you can't even describe what working conditions were. You had to be tough and take it or die. That was there was no alternative at all. It was. It was just either. Well, where plenty of clothes and everybody wore lots of wool, wool underwear, wool socks, wool mittens, wool shirts, world pants and cover your ears up the best you could. And of course, where you handled lumber. Why, you'd have wool mittens inside of leather mittens, you see. And even then your fingers had just freeze because that lumber was cold as could be, just like handling ice. But. They had had two power plants here. The power plant that's in operation there still. And then they had one that that run the planing mill. Well, there was a few men that would make a dash for in the boiler room where it was always pretty warm and they would sit in there and eat their lunch. But these firemen, they'd bellyache like everything about that, because they got so many men in their, you know, that they'd interfere with their work, you know, and, but anyway, there'd be quite a few of them that would pile up in the boiler rooms.",00;34;56;27
Arthur Sundberg,00:34:57:00,"But there was an awful lot of the, the men that didn't have anywhere else to go. If they carried the lunch, they just sit down on a cold stack of lumber and ate a frozen sandwich. And, and. If they had some, some liquid coffee, tea or milk or whatever it was, why they tried to get that thawed out and if they'd otherwise, they just eat a no on a cold sandwich.",00;35;29;07
Sam Schrager,00:35:29:09,Was the meal more or less quiet during that lunch hour?,00;35;33;00
Arthur Sundberg,00:35:33:02,"Oh yeah. Yeah, they shut down. Everything was shut down. You see, they had they had this big Corliss engine that drove the sawmill 1200 horsepower, and then they had an 800 horsepower engine that drove the planing mill. And of course, when they'd shut that engine down, well, then everything there's nothing moved then, because nowadays they have individual power on each unit, you know, they can start and stop any unit, but then you either run everything or you didn't. That was it. Of course they had, as I say, no, they they would run everything. You could still stop units and start units through a clutch system, but everything, you know, it was all belt driven and you could throw in a clutch and then start a unit, or you could throw the clutch out and and stop a unit. But when they did stop for the noon hour or for the end of the shift, well then of course everything was stopped. You didn't move anything because you couldn't move anything unless that engine was running, see?",00;36;49;27
Sam Schrager,00:36:49:29,So it was quiet enough. Then the men could sit down and talk to me.,00;36;53;11
Arthur Sundberg,00:36:53:12,"Oh, yeah. Sure. Of course. Now, the only place where you couldn't talk to each other during the workday would be inside of the sawmill itself. And inside of the planer. Of course, there they talked to each other, too, but they would have to get to lips right up to a man's ear, you know, in order to talk to them. But. There'd be. Oh, you take no, they but one third of the loading dock where they loaded their cars would be in this planing mill area, and there it was too noisy. But the other two thirds of the loading dock was out where you could talk, just like in normally.",00;37;58;14
Sam Schrager,00:37:58:16,"What happened when the temperature got down, as it does sometimes to below zero in in Potlatch. Would it, would it do men be able to change at all or did you just have to to stand it? I mean did they.",00;38;13;16
Arthur Sundberg,00:38:13:22,"Have to stand it? You know, there's I don't exaggerate at all when I say that. I've seen it below 40 degrees below zero. That's cold. And. There was oh, they'd show some leniency, but I have seen it too, in cases where. In extreme cold, if a man didn't report for work, why, he just lost his job. Because, you know, the operation had to keep on going. And if you couldn't take it. Well, then they didn't need you there anymore. See? So more or less, people had to be tough and you had to dress for it. And. You take ten hours out there in that cold weather. I think the planning mill at that time was probably the most severe place to be. They had. Well, they had 22 machines in the planer, so that was a pretty long, you know, building. And it had a sheet metal roof on it, but it was opened on the sides. And of course it had a big overhanging roof, you know, so that everybody stayed pretty much in the dry. But that wind could go right through it, you know.",00;40;15;03
Arthur Sundberg,00:40:15:05,"And then, of course, each machine had these. Would call a blow pipes, but they were suction pipes, you know, that sucked all these shavings away from the machine, you know, and up to the system, of course, that in the South would create an awful lot of movement of air. Well, these machine, each one of these painters. There was two men. One man would feed the machine and the other one would take away from it to see. And the men that took away from the machine were usually a lumber greater. And these boards come out of the machine. He would have to grade that. That lumbers had come out, you know, put it on grade so that it had to be accurate. And he would have one narrow gauge railroad car on this side of his bench that is had come out onto a bench and he's all the lumber was on grade on this order, you see, would go on to this one over here and and all the outs.",00;41;35;19
Arthur Sundberg,00:41:35:19,"That is everything that was other than this grade would go on to this unit over here. So he just stood there. He didn't have any. The only way he could even move his feet to help the circulation in his feet would be to stand there and tap dance or something, you know, and he just stood in one place and handed these boards over this way, in this way. You know, when you do that for ten, ten hours a day in freezing weather and I'll tell you, you're taking off a beating.",00;42;06;23
Sam Schrager,00:42:06:25,"Wouldn't that be true for a lot of the guys in a in the mill, as compared to the guys working in the woods? I would think that in the early days in the woods, they'd be naturally moving a lot more.",00;42;18;07
Arthur Sundberg,00:42:18:08,"Oh, yeah. Yeah. They'd be moving, they'd be walking and so on. And, you know, lots of movement. But and of course, now you're taking the sawmill itself. It was it was always fairly warm in the sawmill because it was entirely enclosed. And then, of course, everything in the sawmill was operated by steam. So there was a lot of radiation there, you see… and… now in this particular mill… they had… awful high ceilings. For one thing, there was 20ft from the from the floor, the bottom floor up to the saw floor. So that pretty high ceiling in the lower level. So you will end the upper level. Well then that was open then up to the roof area and of course that roofless sloping. So there was no ceiling in there you know. But they had, they had double row of ventilators, windows, these windows that would open up the full length of the building in order to give them ventilation in there and relieve some of that heat. So it was usually pretty warm in the sawmill, but it was the men in the planning mill and the loading area, the loading docks and the lumber yard that was really subjected to this cold in the in the wintertime, you know.",00;44;11;05
Sam Schrager,00:44:11:07,"Sounds like the people in plane mill had it both ways, because the noise being so high, as well as the being so cold.",00;44;19;23
Arthur Sundberg,00:44:19:25,"Yeah, there are a lot of men that worked in the air all their lives that lost their hearing, you know, and kind of that high pitched noise. And of course, there was a lot of men that it didn't affect them that bad. It there was a difference in, in the human being, you know, just what these different organs can take… but… there were some of them that would just go stone deaf, you know, from the noise. Well, now days. It's it's state and federal law is that any work area that has any noise at all, you know that. Well then they've got to where your ear plugs or ear protection, you know, they were these muffs. You know these.",00;45;17;12
Sam Schrager,00:45:17:14,But there wasn't back then.,00;45;18;24
Arthur Sundberg,00:45:18:25,"Oh they didn't. Of course they never they never heard television, never even thought about any safety practices. You know, you take as far as you take evenly really high. Risk areas of the industrial plant. They never even thought about building any guards or anything else. You know, it was it was up to you to watch where you were stepping and where you put your hands in your head and so on. And in fact, the matter is, you know, they didn't seem like they were responsible. You were responsible to yourself.",00;46;01;25
Sam Schrager,00:46:01:27,Where were the high danger spots?,00;46;05;21
Arthur Sundberg,00:46:05:23,"Anywhere where there was machinery running. They had the sawmill, planing mill and a box factory. Of course, that box factory, it wasn't built until about 1912, but in the box factory they had. Oh, just ever so many cut off saws and rip saws and all that stuff, you know. And men, every once in a while you'd hear about some guy losing these fingers, you know, and but and of course, everything was built, driven. And of course, there was quite a hazard there, you know, getting wound up in a belt. It's kind of hard to get someone to realize the. All the proportions that were used in putting up a plant like they had here. For instance. Now, I say this big Corliss engine that drove the mill. It had a flywheel on it that was had five feet across the face of the flywheel, and it was 24ft in diameter, all heavy cast iron. Of course, that was all put together in in sections, you know, bolted together. But anyway, this huge flywheel and this belt that was on this, on this big wheel that went from there to into the sawmill, it took 3000 cow hides to make that one belt.",00;48;05;24
Arthur Sundberg,00:48:05:26,"So you can imagine then get some idea of the proportions you see that was used. Of course, when I when you see a cowhide that was just the backs, they don't take the flanks or nothing because they just use that back of the cow hide. But anyway, it was three hides thick. The belt was about so thick, you see, and and five feet wide.",00;48;32;12
Sam Schrager,00:48:32:13,"How long about was it, you know well.",00;48;42;13
Arthur Sundberg,00:48:42:16,"Approximately 150ft, I'd say. I can't give you the exact length of it. You'd have to take half the diameter, that flywheel, and then from, from the center, that flywheel to the center line of the shaft in the sawmill was about… i'd say… 50 or 60ft. And then, of course, the the driven, driven pulley in the sawmill. It was about. Approximately six feet in diameter or something like that. So of course, you see that would that would increase your speed ratio, you see, from this big flywheel to the smaller one. Well then the. The main drive shaft in the sawmill. That come off in this big engine there, that's chapter seven inches in diameter. And then of course. From that shaft, well, then there was several counter shafts, you know, there would be big belts that would drive over onto a counter shaft. And then that shaft probably would drive on to another counter shaft. So it was quite an intricate layout of, of transmission of power, you know, in order to power that whole mill off in this one power unit, you know, often this one engine.",00;50;37;20
Sam Schrager,00:50:37:22,"And, it, it was laid out in such a way that, it was all in the open and men could get tangled up in it pretty easy if they didn't watch this.",00;50;48;13
Arthur Sundberg,00:50:48:14,"Oh, yeah. Well… i can recall when. In the structure, the wooden structure of the mill itself. Of course, they had these wooden columns, you know, they were, 16in square, these columns, you know, and then, of course, they had these big timbers that went between the columns they called bridge trees. It's what they were called. Well, anyway, they were about 24ft apart. And of course, there was a great big bearing on each one of those for this shaft. And you see. Well, the man now see, that was the Euler. By, oh, for a long time, while he'd carry ladder with him and he'd go up here and all this bearing, and then he'd move over and he'd another bearing. So what did they do then? They just after a while, they just laid a plank, a single plank, maybe four inches thick. But anyway, the single plank from this bridge tree over to that bridge tree, 24ft span there, you see.",00;52;16;08
Arthur Sundberg,00:52:16:09,"And then from that one to the next one. So he would just walk along that plank, and he held this bearing, and then he'd walk around and all the next one and so on. Well, of course with these big pulleys were this plank had to run through past the face of that pulley. Well, then from this plank, he would just walk on that bridge tree over to the bearing, which would probably be some places. Maybe he'd have to go step over there 4 or 5ft. Maybe another place would be 10 or 12ft over. But when he was walking over there, here was this pulley running right alongside of him here, all in the open sea. So if he would lose his balance, he could fall right into that pulley. So you see, a man had to be watch what he was doing all the time. Of course, they wouldn't even think about letting them plant even start up nowadays in conditions like that. You know, if they everything wasn't guarded before they even started, they wouldn't even let them start. But that's they didn't know any better. And everybody was happy.",00;53;38;13
Sam Schrager,00:53:38:16,Were they. The men were men. Didn't think twice about it.,00;53;41;09
Arthur Sundberg,00:53:41:10,"Oh no. No. In fact, the matter is, you know, you take this job that was sort of a premium job. You know, it always paid. Probably $0.05 an hour above common and and of course, you wasn't tied down to one spot, you know, and you had more freedom and and. You know, follow it. Be kind of tickled, you know, to get a job. Well, you know.",00;54;16;11
Sam Schrager,00:54:16:13,Did people think of it as a dangerous job as compared to the others in the mill?,00;54;20;26
Arthur Sundberg,00:54:20:27,"Oh… you know, the average person, in fact, I might say, everyone, when you first go into the sawmill, it'd scare you to death. The noise and all the movement going on in there, you know. But what are you going to do? Golly, you know, you're you're looking for a job. You ask for a job, and you're willing to take anything to get a job because you've got to support yourself and your family if you've got a family. So what do you do? You just grit your teeth. Well, nowadays they they won't even think about putting a person on a production job until he's had some job training. That's one of the the. Things that's required nowadays is you've got to have give every man job training. But those days they they didn't. They would if you'd never been inside of a sawmill in your life, you didn't have any idea what it looked like in their. And you went over and you asked the foreman for a job. And it so happened that he needed a fellow safe to pick engines. Now, when I say pick edges, that's behind the edger. These down here, they had double edges.",00;56;06;02
Arthur Sundberg,00:56:06:04,"That is one machine took care of two head rigs and it was two men feeding it. Well then just beyond this edgier right in this role case for these roles are just traveling like mad. You know, they had a an area that was opened up between two roles, and it had a platform there for a man to stand on. These boards come out, this edger, this man had to flip this edge off, probably two sides of that board down onto this transfer that carried the edges of way. See. And then of course, he had to go here. And they flipped these boards off in that side. See because he had ten. Well that was he had a space in there about six feet. He'd have to go this way and go that way. Well now you're a new man. Had never been in the sawmill in life. And he'd say, yeah, I need an engine picker. You can go to work up there and say, well, all right. Never. He didn't even know what an edge and picker was. So he'd go up there and he'd have some man in there, say, temporarily, until they could find a new man doing this job. And he'd probably let you stand there for five minutes and watch that fella.",00;57;40;29
Arthur Sundberg,00:57:41:01,"What are you doing? And then he'd. He'd probably give the edge of the high sign to hold up for a minute. Long enough for that fella to jump out, and you jump in, and then you started doing it. That's the training you got. Well, now these boards come out of there. If you didn't keep a keen eye, maybe one of them boards had come along and they hit you just about just above the knees there you see. And boy, they could hit your hard. And in fact, the matter is there has been fellows that was hit hard enough to boost them, clear out of that pit and down onto the roll case. But it's up to you to keep a keen eye. Well. These these edges, they had four movable saws on this end of the shaft, and they had four movable saws on this end of the shaft. Well, there was a space in between here of about. About three feet where there wasn't any size. Well, this lumber coming, if that didn't board, didn't have to be edged. They just shoved it down through the middle there because it didn't have to be edged, you see. Well, here you're standing in that pit over there with boards coming at you two sides. But then this joker on this one, the edge, or he sends one down through the middle.",00;59;18;22
