speaker,timestamp,words,End Time
Lora Albright,00:03:38,"And so he would stay 15 minutes after school every day, and then two of my, white kids felt that I was being unfair, and they asked to stay, too. But they were fifth graders. Clarence was supposed to be a second grader. He was ten years old in the second year in the second grade. You see that show?",00;03;57;07
Lora Albright,00:03:57,"They just didn't do anything for him. And, so the other kids stayed and they stayed because when they went home, their father sent them out to. But wouldn't all this sort of thing. And they didn't have a chance to study. So they stayed and studied. And then I gave them some reading too, because they were used to.",00;04;18;05
Lora Albright,00:04:18,"But you may you'd you know that they look at this word and say every then they looked next and for, weeks and the each word you say, instead of seeing a sentence or saying, it was just each one. So then I started with the placards with 2 or 3 words, like, I said, what? What did you do, this morning when you went out to milk the cows, shovel snow?",00;04;45;10
Lora Albright,00:04:45,"I said, okay, Netherland shovel. So Netherlands shovel snow. Netherland shovel snow. I said, how did you know you did? Well, he says, everybody knows how to shovel snow. I said, okay, that's what that that's what those words mean. Netherlands, which was the boy shovels snow. Oh, that's what it's all about. I mean, it's amazing. And of course, that's what I love to teach in the first.",00;05;09;29
Lora Albright,00:05:10,Are you recording that?,00;05;11;00
Sam Schrager,00:05:11,"Yeah, yeah. So our whole thing is to get to is to get some of these stories down, you know, was it hard, on the one boy. Boy? In terms of the other kids being ten years old and, and at the low level.",00;05;30;18
Lora Albright,00:05:30,"No, the in the, in the small rural school. And this was a small one. There was only 20 pupils there, and I had six grades. I didn't have, the fourth grade and I didn't have the seventh grade. I put the seventh and eighth graders together. I only had two. And I found that, the reading and the spelling could be correlated very well.",00;05;51;28
Lora Albright,00:05:52,"And in the small school, I didn't have any. I didn't have that that trouble, thank goodness. They they, after I got Dallas, kind of calmed down a little bit. Well, it was fine, but, his older sister, this youngster that was just 13 years old, was keeping house for her father and a bedridden grandmother and the four brothers and sisters in that home and coming to my school and, one of the the, things that Clarence likes to do is to sing.",00;06;22;20
Lora Albright,00:06:22,"And so, he would come early so that I could play the organ and sing. I mean, this is what you call report these days, I suppose, because I had to earn the respect and the liking and and whatever these youngsters, because I don't I don't think any teacher can teach youngsters that that doesn't have their, their respect and their, their liking.",00;06;46;13
Lora Albright,00:06:46,"And, in the rural schools, we were much closer to our pupils because we were there all the time. It wasn't like going to a class for this and that. And the other. And so I, I liked it that this was, the second school that I taught and, was really an easy school in a way, because I had to learn about the Indians.",00;07;08;00
Lora Albright,00:07:08,"And I had, some of the, gross class children, and I don't like to call names also were, handicapped because they came their folks came from Virginia. And for generation upon generation, they had intermarried because they would not marry out of their family and out of their class. And so some of those youngsters were retarded and were handicapped.",00;07;34;02
Lora Albright,00:07:34,"And so I had this problem. Two of could I see that, that, they had done some things and one of those girls now has caught up with me. She's not only a great grandmother, but one of my great friends and lives in the in the orchards, Helen Gross close was Helen Stinson. In those days, her father was known.",00;07;52;03
Lora Albright,00:07:52,This was the clerk at school board.,00;07;53;25
Sam Schrager,00:07:53,"And when you say the if, for instance, that there were kind of two groups of kids, one the gross calls group and the other the Y bar group, did that reflect the parents and the families, or was it the kids themselves divide?",00;08;09;07
Lora Albright,00:08:09,"Yeah. It was it was just one of those things. And in the old days, the teacher was supposed to be the center of the, school, which was always the center of the community and, every community, exercise. And I use this from voting to, parties to what have you is in the school. And the teacher was expected to do this.",00;08;36;07
Lora Albright,00:08:36,"I literary every Friday night. Finally, it became so heavy that I said, now in rather just have a sketchy one. Let's have one once a month or at the most twice a month. And then, all of you take part. And, if some of you want to debate and. Oh, dear, I don't get me started on debates and, so by doing it this way and by, by, reaching out into the community, I had a wonderful opportunity.",00;09;04;20
Lora Albright,00:09:04,"That's when I learned that, Sam Waters, which was a young Indian man about 23 or 24, played the piano beautifully and, and sang on, why, he could go up, way up and and sing soprano and bow down to the bass and sing the bass down there and, so I had made the remark. I said, well, I am sitting here playing the organ with my back to everybody.",00;09;31;14
Lora Albright,00:09:31,"How can I preside at a literary and do this? And there's it. Doesn't anyone else in the community play? Yeah, there was Sam. So I went over and Sam now you see is a retired fellow lives down here in Spalding. We've been friends all these years. And then we had the groups, the grown ups. And Levi grows close, who is now dead and is was, that was his father and, and, some of the other youngsters, wanted to debate, and he was a lawyer in Virginia when he came out here.",00;10;04;25
Lora Albright,00:10:04,"And so, of course, he wanted to debate. So, my goodness, we had hot and heavy debates. And I learned about debating, listening to community debates. I mean, this is what we did. And then the Sam would come and play and we would sing the patriotic songs and, and, if you are up against it, you can do an awful lot of things if you have to.",00;10;27;19
Sam Schrager,00:10:27,"Did you have party games, too?",00;10;30;04
Lora Albright,00:10:30,"Yes. But not, not the pairing off kind because, there was too much, we had a little bit of youngsters and grape and grandpa and grandma, you know, and some of them would want to sit and look and listen and be entertained. And so, when we had some of the party games, why we would, I would select certain leaders to be, for instance, well, let's see, what are some of them we did in the summertime, of course, while we had the, singing games like Skip to move my darling up in the up there in the schoolhouse, it wasn't possible because we didn't have a special room.",00;11;14;10
Lora Albright,00:11:14,"And so we had to have, like, but. And who's got the button? And then I would make it like, make it over, like, some of the others, we I'd have some of the little youngsters pass the button, you know, and then we'd guess who had the button, and, and, everybody would laugh, and then we'd get up and and play, skip tomorrow, sing the songs, and and then I'd have a contest.",00;11;40;26
Lora Albright,00:11:40,"Who could make up the best verse? And, you'd be surprised would come out of those. The only thing that I laid down the law, I said, it's got to be decent. We've got the kids here.",00;11;51;29
Sam Schrager,00:11:52,With adults as well as the kids. Yes.,00;11;54;06
Lora Albright,00:11:54,Yeah.,00;11;55;02
Sam Schrager,00:11:55,"You know, this this question of the, would you talk about the role that the teacher took in the community? It's very interesting.",00;12;01;28
Lora Albright,00:12:01,Yes.,00;12;02;14
Sam Schrager,00:12:02,"I, I'm curious to know to know more, about this, this you consider this to be, more or less the position of intellectual leadership in the community. Would that be fair to say or or.",00;12;15;24
Lora Albright,00:12:16,"Yes, she was expected to, as a teacher, she was expected to to be intellectual. She was expected to sometimes have a,",00;12;32;18
Lora Albright,00:12:32,"And the opinion that would be acceptable in the community. Now, any teacher, man or a woman and many times the men were teaching out there if they wanted to be controversial, all they had to do was just go against the the common culture of the community, and they were just simply ostracized. That's all there was to it. I mean, they, they, they wouldn't be effective as teachers.",00;12;56;15
Lora Albright,00:12:56,"How could they, if they didn't have the respect of the people and, the children and what have you?",00;13;02;19
Sam Schrager,00:13:02,"And so when you when you say that, how would it take you, how would that kind of situation come back? Our teacher would wind up going against the grain of the of the community.",00;13;17;21
Lora Albright,00:13:17,I don't like to put this on record.,00;13;19;25
Sam Schrager,00:13:19,"Don't use her name then. Yeah, but I'm curious to know. I mean, why or how teach you how to defend the community in such a way that it was no longer effective? That's that's the that's the important thing. I mean, what what was what would be getting beyond what was acceptable to the people. That's.",00;13;36;27
Lora Albright,00:13:37,"Well, there there's two things, a teacher can be. So, so very intellectual and so very, high and mighty that, she and I will say she because I was a teacher, would not listen, to, her school board, for instance, because they were playing man. And they, they didn't doubt. No, none and didn't use good grammar.",00;14;03;18
Lora Albright,00:14:03,"And she would reflect this in her dealings with them. And, when you get, a school board and a community board, she usually lived in the community and, and boarded with some of them. And there any family will do things that, is strange to a girl that goes in, for instance. Oh, I, I mustn't tell this.",00;14;27;20
Lora Albright,00:14:27,"I mustn't tell it because everybody knows me and they know my history. Will you turn it off now to I, well, I do.",00;14;34;17
Sam Schrager,00:14:34,"Is there a way we can, you know, if there's a.",00;14;36;24
Lora Albright,00:14:36,"Way we can working with Uncle George and, and, his uncle George Albright's bicycle shop that turned into a, car mechanics and Doctor Whitman and some of these that. Were they always.",00;14;53;26
Sam Schrager,00:14:53,"You mentioned that to me, that, you.",00;14;55;07
Lora Albright,00:14:55,"Know, for him and, he drove for him, and then he, he taught himself the mechanics of, of this and did fine until his health broke. Because and then and so I'd heard all about Raleigh. All right up there when I was and but I never really met him till I come down here. And, this at Susan's home was just around the bend up here.",00;15;14;26
Lora Albright,00:15:14,"And that white house, the Johnson house was. That was the Albright house. That's where Raleigh was in Berlin, at home. So he talked his mother into taking me in because he was afraid that I was going to go home. And I've been here ever since. 59 years is this long?",00;15;30;05
Sam Schrager,00:15:30,"Well, okay, so we talked about about, the.",00;15;34;20
Lora Albright,00:15:34,"Literary things and just thoroughly enjoy it. And her husband, who was the clerk of the board, felt that he was quite the king's, man. And he would lead many of the debates. I mean.",00;15;51;19
Lora Albright,00:15:51,"In the community. And I'm sorry, in a way that, many of these rural schools are passing because, the youngsters, in the lower grades learned from the youngsters in the upper grades. How do you carry, 75 classes a day in seven, grades was from 5 to 6 subjects in each grade. And do it in 6 hours or 4 hours or eight hours.",00;16;19;01
Lora Albright,00:16:19,"You see. And, we didn't have a lunch. The youngsters would bring their own lunches. But I made it, my business to see that there was, hot water and then, cocoa and things that we would have. We didn't actually have school lunches, but we did have, this because the children had to eat and some of the youngsters didn't have decent things.",00;16;43;01
Lora Albright,00:16:43,"They would bring raw carrots and just eat nothing but raw carrots. Well, when it's cold and some of those youngsters, didn't have clothing like they should have had, and so we had to, sometimes I would take extra food because when I stayed at Mrs. Albright's while she realized the situation and in fact, she held herself quite aloof from the rest of them because she that was poor white trash from Virginia just wasn't up her alley, and she was going to make her family American or no, the reason why.",00;17;16;18
Lora Albright,00:17:16,And I already knew I was American. I didn't have to worry about making myself American. And so.,00;17;22;01
Sam Schrager,00:17:22,"You say Mrs. Whitebark, she called it outside culture. Is that what she called it? What what do you think she meant by that?",00;17;30;20
Lora Albright,00:17:30,"Well, I think she meant the, she had, struggled up through her 16th year and finally got through the eighth grade, and that's as high as she could ever gone. And she would have long she would have loved to have gone on to high school. And it wasn't possible. And so she married and then had this large family, and she was just so thoroughly, thrilled.",00;17;51;09
Lora Albright,00:17:51,"And, in the singing, for instance, I'd say, well, let's let's, how about singing a part? Can you sing a part? And she couldn't read a note, you know, and she said, if you will, if you learn it to me, I can. And so I would sit down and we would pick out the, and I'd make, like, say, the alto in just an alto tune.",00;18;10;10
Lora Albright,00:18:10,"And she learned that tune and she could sing it, and she didn't know, I mean, this sort of thing that was good for her. She wanted to do this. That's my telephone.",00;18;21;13
Lora Albright,00:18:21,"The river halfway up that hill over there. And, we were in the shack. You haven't seen the picture that I did.",00;18;30;28
Sam Schrager,00:18:30,I looked at it.,00;18;31;14
Lora Albright,00:18:31,"Did you? Yeah. And, I had to, get some lunch. What do you get for lunch with her? I thought I had some napkins, but I guess I'll have to get some others. I thought, oh, what'll I give her for lunch? Gee, I just don't know what to do. And, it was out there, and it was so hard to do anything with it.",00;18;55;17
Lora Albright,00:18:55,"And I'm going to get in there. Yeah. How about that? And so I went down to the river to get a pail of water, and I saw these band dandelion buds, the dandelions were just it was just about this time of the year was a little earlier and they were coming up and they were just great dandelions in the grass, you know, like this.",00;19;15;12
Lora Albright,00:19:15,"And there was those buds and I thought, well, gee, I don't have any lettuce. But if I had, I can get some of those. I'll, I'll, I'll make a hot salad. So I had some old dried, hard home cured bacon that was so salty that we couldn't eat it in for breakfast anymore. Very much. We were tired of what we had all winter.",00;19;38;12
Lora Albright,00:19:38,"So I, cooked up that, and I, had some homemade vinegar, and I got the vinegar in it, and, I picked, two cups of, Dandelion buds and a couple of the leaves that I could, put in there. Then I washed them and put them into a dish. And I went home, and I cut off this hard bacon that was so hard that nobody could very well.",00;20;12;14
Lora Albright,00:20:12,"But, see, I didn't have soft stuff, and I, decided that the vinegar was too, harsh. So I, put a little water in it, and then I had a lot of eggs, thank goodness. And so I broke three eggs in there and scrambled them all up and thickened it a little bit. And put it over those.",00;20;32;05
Lora Albright,00:20:32,"And I made some homemade biscuits. And that man came. I gave him this hot salad. This is Dandelion Buds salad, and I hope that you'll like it. Mr. shell appealed and he said, well, I think I will usually, my mother used to cook dandelion greens. And I said, well, this is not the boiled greens. This is a, hot salad.",00;20;51;10
Lora Albright,00:20:51,"And he just a fan of his. I said, my goodness, that's wonderful. He said, where did you get that recipe? And I said, oh, it's been an old family secret for a long time. And he ate those hot baking powder biscuits and and that dandelion salad with the meat and that that's all they had for lunch. Oh, yes, he did too.",00;21;14;13
Lora Albright,00:21:14,"I had some canned pears, but I'll never forget that because I. And so, the family has eaten dandelion buds salads ever since. When you go out and buy thick enough. And you'd be surprised this little one out here. I could a couple of those in dandelion season is fine. Easily.",00;21;40;23
Lora Albright,00:21:40,I'm then another thing that.,00;21;43;13
Sam Schrager,00:21:43,That is excellent.,00;21;44;21
Lora Albright,00:21:44,"Yes. Isn't that good? Really tasty. Berry. The blackberries there, they, They're they're Himalaya blackberries that the girls Close's brought from Virginia long, long ago. And you know how they have taken over the countryside? These berry bushes are clear up to cameo. They're all around Spalding. They're all over. And they started from the, the Girl Scouts farm, which is by the Johnson house.",00;22;11;15
Lora Albright,00:22:11,"It's up here as you as you go to get to before you get to Julia. That the white House where the Johnsons live used to be the old all right place. And, the there is no longer just around the bend on this steep bank was where this ad Susan goes. Clothes house was. And, the girls closest.",00;22;29;09
Lora Albright,00:22:29,"And there were two brothers that came. Levi Gross. Close was the lawyer that was a young fellow that came from Virginia. And then Uncle Jim was his uncle that came. And then there were, brothers. And that's where the gross closeness came so long ago from there. And they've spread out over the state since then. And they brought these, familiar blackberries with them and the old walnut tree that's on the left hand as you go back.",00;22;56;19
Lora Albright,00:22:56,"It's a it's an old, old tree. That's it grows to Augusta. Shrewsbury. She was married. Planted that and all of the walnut trees in the country. And I've kind of come from that. We've planted a lot of them out here. The children are planting them again.",00;23;11;03
Sam Schrager,00:23:11,So the walnut trees came from the.,00;23;12;29
Lora Albright,00:23:12,"This the last. Yes. That they brought the look out there that you can you see that magpie that's on the, on the roof. There, there. You just flew. Yeah. Well, I have to feed my cats on the roof to keep the dogs from getting them. And so now the the magpies, you're eating the cat food. I have to feed them after night when the magpies go to bed.",00;23;30;13
Lora Albright,00:23:30,"And it makes me feel real badly, because after all, the magpies have babies that have to feed to.",00;23;38;23
Sam Schrager,00:23:38,"And, And that's very, you know, there aren't many, people around that I've known who, who come from the South like like, yeah. Yeah. It's interesting to me that they that they brought some of those things out with them and that they kind of, take a snoot.",00;24;03;23
Lora Albright,00:24:03,"Yes. I amazing I of, Juliaetta. You've met her. You see, her father was the undertaker and old Uncle Joe. Aunt Laura was a very fine, nice person. And Uncle Joe was nice, too. But he was right. On the border line and and, Macy, Mrs. Father gave the, as you know, the land for the church there and helped build the church a long time ago.",00;24;34;19
Lora Albright,00:24:34,"And that was the, the other side of the picture. You see, they were so dedicated Christian people there. But at the same time handicapped by the lack of education they had. Although he was a businessman and a Shafi, I mean, he was an an embalmer and he had, graduated from this embalming school and didn't have quite as much in those days.",00;24;55;23
Lora Albright,00:24:55,"They do now. But he was our undertaker up there. Tony passed away and had a store there. Not not the grocery store, but the furniture store, because that fit in with his embalming business. You see. Well.",00;25;10;24
Sam Schrager,00:25:10,"To talk a little bit more about, about the role of teachers in the community, one thing about this that I've noticed in talking to people all the time was I find that a surprising number of the women that I talk to didn't teach.",00;25;31;08
Lora Albright,00:25:31,"Yes. I think that this was, really true because the teachers would come in to a community and they were always outsiders, and they were well-educated, naturally. And they were usually, responsible persons. And you couldn't blame those young men for trying to marry them if they could. Then this and this, this is true. This is this is this is true.",00;25;53;04
Lora Albright,00:25:53,"I, when I came down here, of course, my story is a little different, too, because I was engaged time to a doctor and had looked forward to perhaps being a doctor's wife and feeling a little bit put upon because I wasn't sure I was ready to be staid. I thought a doctor's wife had to be very dignified, very staid, and I was such a happy go lucky.",00;26;13;09
Lora Albright,00:26:13,"And I had this wonderful horse that I wanted to be, and I wanted to be myself after all. And so, I broke my engagement and fell in love with Raleigh. And so I'm here ever since.",00;26;27;21
Sam Schrager,00:26:27,"But, you know,",00;26;29;04
Lora Albright,00:26:29,"And this, this is the story of a great many teachers coming in to, small community. And, I think that you'll run into this more and more mean. You've already spoken about it.",00;26;42;21
Sam Schrager,00:26:42,"I have seen it, you know, and what I've been thinking about that lately and and thinking that that, it must have been for most women, the best opportunity that that presented itself to, become, highly active in, in the early communities. Now, this may be maybe I'm not correct, but I have had that impression because because the role was there.",00;27;13;02
Lora Albright,00:27:13,"And I think that maybe. I would like to say it this way. The these girls, these young women that would come into the community, mostly had been to college and had had, more opportunities than those on the local level. And so of course, they, they represented something that the local people, were happy to have.",00;27;40;04
Lora Albright,00:27:40,"For the most part, it wasn't always true. Sometimes, teachers would get off on the wrong foot and then they all stuck and I can't be bothered with her and so on. And this is these are the unhappy tales saying, because many teachers couldn't bear the responsibility of the. And you go into a school now and I taught at lookout.",00;28;02;13
Lora Albright,00:28:02,"I had 78 pupils and some of those big boys were as old as I was. And I had gone to school with some of those boys. And how do you how do you keep discipline and how do you, say, now, look, this isn't the right thing, Sam. You're not doing it right because you don't know your multiplication tables.",00;28;20;19
Lora Albright,00:28:20,"Now, you learn your multiplication tables. And you have to watch. You have to watch it. You have to watch it. I did two things with a couple. As I was thinking that it's been so long ago. Sam. But one of the boys that went to my school wanted to be, an auctioneer, and I didn't know, the auctioneers that I knew at the time.",00;28;48;14
Lora Albright,00:28:48,"Well, they just started out and were auctioneers, you know, and they worked up a pattern. It didn't make any difference if they put a few cuss words in and what have you. Well, that was accepted. But this this youngster had brains and I had to find out. And I made it my business to find out, where there would be a school, where could he go and learn to really be an auctioneer.",00;29;10;00
Lora Albright,00:29:10,"And I did it through the libraries. Now, this was one of the things you haven't touched on this, Sam, either. And, the rural schools had the opportunity to build a fine library, and, there was a certain percentage of, taxes that went into this that was, a library, levy. And, if the teacher did right by the community, that library was open to the people.",00;29;33;10
Lora Albright,00:29:33,"And so I wrote to the, to the county library in this case. And I said, where can I get material for an auction school? And I got all kinds of things, back. And then this led went on and earned these spurs and, is down south now, just to go he went back to his people and he's built up a big auctioneering thing there.",00;29;57;05
Lora Albright,00:29:57,"Another one of the boys wanted to be a veterinarian and I didn't know anything about it except, how he could. And I went through the same procedure. Made it my business to find out to help this youngster and, his folks, when they they got the brochures in the school his folks couldn't possibly have sent him. And so I worked with this youngster, and he had no typewriter, and he wanted to learn the type.",00;30;22;16
Lora Albright,00:30:22,"And I said, well, I'm not sure how good you are, Dirk but I said, maybe you could get some, some work addressing envelopes or something. I said, let's look into it. Well, what he finally got was a, an assistant janitor ship in, a city school, you see, because he'd had the experience there.",00;30;46;05
Lora Albright,00:30:46,"And so the teachers role in the old days, as particularly I don't expect it's true yet in the rural schools that we had this, this, this outside culture. So call was outside really contacts they wanted to know how to do see and if the teacher was, was, as responsible as most of them were, they would find out how to do this, you see.",00;31;08;21
Lora Albright,00:31:08,And so.,00;31;11;24
Sam Schrager,00:31:11,"Library, you're quite right. I don't know about libraries in those days. That's something I haven't thought.",00;31;17;17
Lora Albright,00:31:17,"Oh, you hadn't thought?",00;31;18;17
Sam Schrager,00:31:18,"Well, no. What was that situation?",00;31;20;19
Lora Albright,00:31:20,"Well, there was always, it every rural school had a library and there was a special levy, a certain amount of, of the percentage of the tax that was allowable. And our little pile of rock up here was very, very fortunate because we had the railroad. You see, it wasn't, we didn't have people that would vote against the library because, well, they fell to the Union Pacific in the Northern Pacific, was paying an awful lot of taxes there anyway, which was true.",00;31;49;06
Lora Albright,00:31:49,"And, so I could spend the limit on this. And one year, I know I spent $185 on the books to to get them. And then, many of them wanted just novels. Well, I couldn't see this, you see. And so I, we had a PTA. Oh my goodness. And I talked to them and I said, now I'm getting ready to make this order for for our books, but we must have school books.",00;32;18;16
Lora Albright,00:32:18,"And I said, we need reading material badly that will fit into our lower grades. But I said, I am perfectly willing to, to get, at least four books for the general public, if you will tell me which ones you want. And, some of them, opted for novels and then others wanted some of the university books.",00;32;44;05
Lora Albright,00:32:44,"I mean, one on soils. I remember one of the young farmers wanted a book on soils, and I said, well, we can buy it, but it will be all of $7. And in those days, this was just I would take up a lot of, a lot of the money. And I said, I think that maybe I can borrow and I'll see if I can borrow, from a library somewhere and see somebody else may have it, and I'll make it my business to do so.",00;33;11;06
Lora Albright,00:33:11,"I didn't get the one he wanted, but I got some others. And, I mean, this is what you did. And the, teacher had to be the librarian. Naturally.",00;33;19;19
Sam Schrager,00:33:19,"What would you say, roughly, would be the composition of the library. What would its makeup be?",00;33;27;28
Lora Albright,00:33:28,"Some do it yourself pamphlets, and I got these and the classics. Now, some, like this Levi Gross post that I talk about. He felt real badly that I wasn't putting on Shakespeare plays. Well, you can't put on Shakespeare plays very well with it. The kind of youngsters I had and do a decent job that would do something.",00;33;51;15
Lora Albright,00:33:51,"And so, I wrote to, and my, club, a, superintendent was Mr. Redfield. I wrote to Mr. Redfield, and I said, I have had a call for some special how to do it books, and they weren't as popular in those days as they are now. I said, is there any place where I can get them?",00;34;12;29
Lora Albright,00:34:13,"And because Arthur Redfield had some southern people in her background, she says, let me write. And she wrote to Arkansas and Missouri, as I remember, just right off the bat. And, they had some books that were put out by, a composition, a composition of authors in the Mississippi Valley that was above, greening, as I understand it.",00;34;39;22
Lora Albright,00:34:39,"And I borrowed those books and they sent them out here on her. Miss Redfield said that Miss Brackett will be responsible for them, and we borrowed them for six months, and they practically wore them out.",00;34;52;00
Sam Schrager,00:34:52,Do it yourself. Do what? You.,00;34;53;23
Lora Albright,00:34:53,"So, The first composting was, was one of the things there and. Well, let me go back a little bit. The, the farmers were lazy and they wanted their winter corrals on the creek bank, and there was too many people that was getting water that had come from that creek and to shallow wells and what have you.",00;35;22;19
Lora Albright,00:35:22,"And so the first thing I did was to say, look, now, maybe some of these things that are happening and there were things, Sam, like, Saint Vitus dance. I never heard a saint by this dance, and I, I didn't know what it was. And I found out it was malnutrition that causes Saint Vitus dance. And it was because of, polluted water that we were getting.",00;35;44;19
Lora Albright,00:35:44,"And this is when, I started to do something about water. How do you how do you get water? Well, that's when we heard. I learned about drilling through the, you get down to the hard pan when you're digging a well with a shovel, and that's it. But with the drills that they commenced to have. And about that time, I then, we got this.",00;36;05;12
Lora Albright,00:36:05,"Good. Well, up here with that through three hard pads before we got to the good water and this sort of thing, you see. And if we could have taught these people and some of the farmers did they they could realize that for their own safety, they should have, well, that was free of, the barnyard and, so how to do it yourself?",00;36;29;06
Lora Albright,00:36:29,"And then the other one was weeding. Now, the gross closest that came from Virginia knew about flax and weaving and, about yarn and knitting and about spinning the yarn they had with my husband's people had sheep at the time, and they'd go up and get that woven. Gee, there was, burrs in it, this, these terrible burrs that crinkle all up in the wool and you can't get it out without tearing it all to pieces.",00;36;57;24
Lora Albright,00:36:57,"And then you've got those burrs in the, in the yarn. So we had to learn about weeds, if you want to protect your crops, which happened to be wool off of sheep and, and the mutton, then you, then you, get rid of the weeds so you don't have cockle burrs. And then I remember another thing that, bothered me a little bit when I was teaching up here was the unsanitary conditions with milk.",00;37;31;27
Lora Albright,00:37:31,"They would go out and milk the cows, and then forget to keep the milk clean, you know, and there's nothing as dirty as dirty milk, you know what I mean? So, I sent to the university, they had the. They've always had the dairy up there, you know, on the dairy cows. And they these people had some good cows.",00;37;52;02
Lora Albright,00:37:52,"And I said, it's a shame to just get that milk and then ruin it, you know. Well, you're three of the people, kind of felt badly. So I went back to my Miss Redfield again and I said, can I have some advice about how to have milk tested for bacterial count and for things like this? And I said, now we've got the seat by the stands, and I'm calling in the, the, county doctor.",00;38;24;00
Lora Albright,00:38:24,"And I thought that, that as a county school mom, I had the right to, to ask him. And it was Doctor Ellie and bless his heart, he came. But a county doctor is only to doctor County patients.",00;38;42;29
Lora Albright,00:38:43,"But because the schoolteacher yelled out here, and I needed help, and I told him about the milk situation and about the water situation. And I said, how can these youngsters possibly grow up with all these handicaps? What can we do about it? Would you come out and would you, help me? And so he came. But sometimes it seems to be ignorant.",00;39;06;21
Lora Albright,00:39:06,"So, but, the county, the counter outside culture to get back to this again. This is what it was. It was mostly the know-how and the willing to find out and to know. Now, I didn't know almost where to get. But you see, I had people I could reach. It could rely on Mr. Redfield. And then, because I had been a summer school in the normal, I didn't always get, good response from them because they had their own programs and their own work.",00;39;37;20
Lora Albright,00:39:37,"But, The, is superintendent of the high school. The lowest in high school was still around when, I was teaching that I'd been there in my sophomore year, and I had such a deep respect for this person that I wrote. And I said, if you were out in the country school and this wasn't up here, it was my first school in Jack's Canyon, which was, this is better or worse than this.",00;40;07;03
Lora Albright,00:40:07,"How would you go about how could I go about finding out who to write to? And I don't know how many hours. Professor Homan spent working for me, telling me this. This is what these people craved. This is what they wanted to know. This is what they expected of a teacher to have these outside context. Now, I was not to a musical, but we up here one year, we had a teacher that was real musical, and she she could play anything from a sweet potato to a hot potato.",00;40;36;26
Lora Albright,00:40:36,"And the kids just loved it. And the rhythm bands came in. Yeah, I didn't have sense that they have a rhythm band, because the annoying thing about it, I thought that they had to whistle or sing or play an accordion or a mouth harp or something like this. You see. And then we tapped our toes and, I could have made a drum if I'd been around long enough, and my school was only seven months long.",00;40;56;17
Lora Albright,00:40:56,It was understandable.,00;40;58;02
Sam Schrager,00:40:58,"Well, Let's take Jack's Canyon. Were that were the people there that, that needed a certain amount of assistance and needed to get some more progressive ideas about how things should be done. And we were, you was the the course there that the with people. I mean, why did they have that that lack of knowledge in their background is what I'm curious to know.",00;41;27;13
Sam Schrager,00:41:27,Were they were they Southerners? Were they from from the Hill Country? And what was the story there.,00;41;34;24
