speaker,timestamp,words
Ruby Wheeler,0:07:08,"Usually all night. Or it could set it there to make a difference. Mother and Dad had built a cellar and covered the inside of it with cheesecloth to keep the dirt. See it was an underground cellar to keep the dirt from falling through. And she had a big table in the cellar and that's where the milk set. She'd skim it off every day and put it in a large jar to churn. And then when Dad would go to Blues, she'd send the butter in. She'd made it and she got 10 cents a pound for it. She sent eggs, butter, and booze.",
Laura Schrager,0:08:08,Would the butter keep longer?,
Ruby Wheeler,0:08:10,"Oh, yes… i think he probably went in but every week.",
Laura Schrager,0:08:19,They'd keep it in the cellar after it had been churned?,
Ruby Wheeler,0:08:22,The cellar was just real cold. It was done in the dirt.,
Laura Schrager,0:08:27,Was it under the house? Was it under the house?,
Ruby Wheeler,0:08:31,"No, it was out. Just at the back door and it sat in a bank. I remember we kids always liked to slide down the, you know, we'd get up there and slide out and the Mother and Dad caught us. We were in bed because it knocked the dirt all down inside.",
Laura Schrager,0:09:01,Do you remember how skating in Harvard was that? Did you skate on the creek much?,
Ruby Wheeler,0:09:11,"Oh, yes… we skated all winter. We had good skating all the time. That's where we spent all of our time in the wintertime… nights… we went out every night. All weekends. We were never home weekends. Go down on the river and building fire and stay there. After they put the dam in, then they flooded the river above the dam. Boy, we had real good skating then.",
Laura Schrager,0:09:52,The dam where?,
Ruby Wheeler,0:09:54,Potlatch put the dam in there at Harvard to hold the water to drive the logs down.,
Laura Schrager,0:10:02,I didn't even know there was a dam.,
Ruby Wheeler,0:10:04,"You didn't know there was a dam there? No. Well, it was just a small dam, you know, the Potlatch you put in.",
Laura Schrager,0:10:11,And it was to help them float the logs down? So that was really early on they put that in.,
Ruby Wheeler,0:10:17,"They always, every spring they had logs right. I remember that real well, how they used to bring the logs down. And then when the Potlatch built this dam, then they could hold the water back, you know, and pour more in Potlatch. Easy then.",
Laura Schrager,0:10:46,How did the logs get over the dam?,
Ruby Wheeler,0:10:49,They went through. There was gates that they could lift up.,
Laura Schrager,0:10:58,Now where was this? It isn't there anymore.,
Ruby Wheeler,0:10:59,It was on Dad's old place.,
Laura Schrager,0:11:01,It was right in Harvard then.,
Ruby Wheeler,0:11:03,"Yeah, just above Harvard there. It was almost exactly where our whole house sat. Our whole house sat up from the river. There's, I don't know if you ever noticed the railroad there at Harvard where the first cut is there at Harvard. Railroad cut. Well, I don't know how it sat right there where that railroad cut is. And we was just up from the river to Spoolways. And the dam was right in that place. I think it's by the dam left there now… i'm not sure.",
Laura Schrager,0:11:48,I don't know that country well enough. No.,
Ruby Wheeler,0:11:52,You'd have to go up there and just walk around. Have someone tell you.,
Laura Schrager,0:12:02,So would you have to clear the ice to be able to escape a lot of this?,
Ruby Wheeler,0:12:08,"Well, they didn't use it the winter time you see the dam. I think they left it open in the wintertime. A lot of the time. I know one time we had good skiing there and they let the water out of the dam. We just had ice every way.",
Laura Schrager,0:12:29,It really buckled. Did you ever fall in? Did you fall in much?,
Ruby Wheeler,0:12:38,"No, but a couple boys did. I never did fall in. One day a friend of mine and I were skating and we were acting smart. These two boys came along behind us acting like we were, of course, silly. And all of us, we got over it because we didn't weigh as much as they did. And when they came along they went in. Boy, we had enough time getting one of them out.",
Laura Schrager,0:13:05,Why'd you have trouble? He kept breaking through?,
Ruby Wheeler,0:13:10,He just his head was sticking out. But we finally got him. The other boy that was skating with him didn't go in. And the three of us got him out. We didn't skate anymore that day. We went home. He's still living. He lives in Vancouver. And he came down not very long ago and I asked him if he remembered any color ever. He said he sure did.,
Laura Schrager,0:13:54,Did you toboggan much or anything like that?,
Ruby Wheeler,0:13:56,"Oh, yes… right. In Harvard… there was a hill that goes up where we used to live. And that got real slippery in the wintertime when we used to slide there all day and all night.",
Laura Schrager,0:14:22,Would a lot of kids get together?,
Ruby Wheeler,0:14:24,"Oh, yeah. All the kids around there would come in. We had one man that lived, he came there from Minnesota. And he was a married man. He had four or five children. He used to come in and skate. He loved to skate because he was such a wonderful skater when he used to. He'd come in and skate with us kids and just have a big time. He was a beautiful skater.",
Laura Schrager,0:15:07,It sounds like there was somewhat of a community there even before Harvard got there.,
Ruby Wheeler,0:15:13,"Oh yes. I think there always is in a little settlement, you know, where there's families. I think they more or less make their own fun. They did in those days. It'd be hard to do now because the kids wouldn't be happy with that. It'd be pretty slow for them.",
Laura Schrager,0:15:39,"Did you as a child ever hear rumors about the mill opening up or anything like that? I mean, do people get pretty excited??",
Ruby Wheeler,0:15:47,About what?,
Laura Schrager,0:15:50,About the mill and the railroad and everything that was going to happen?,
Ruby Wheeler,0:15:52,"Oh, I guess we were all happy when it came in there. I know my dad was. Very happy about it. I think everyone was. It tells you in that little pamphlet about Princeton being in there before the college came in.",
Laura Schrager,0:16:19,"Now that, I knew.",
Ruby Wheeler,0:16:24,"Princeton was about our only, was the only town we had around there. Palouse was the next and it was 20 miles away. And there was nothing in Princeton but a store and a couple of saloons and all. I think a dance hall. A few families. They just had one store in Princeton. And they had a hotel. I don't know if that hotel, I think it was put in after the lumberjack. Oh, I don't know. It might have been there before the lumberjacks started coming in. I believe it was there, yeah, it was. It was Princeton, they called it the halfway house between Palouse and the Hoodoos. See, they were mining up in the Hoodoos. They'd mined up there for year and year and year. And this little town of Princeton was the happy place. See, it was all horses then. And they had to have a place to stay. They couldn't make it in one day.",
Laura Schrager,0:17:36,Do you know anything about the mines in the hoodoos any the stories about the mines?,
Ruby Wheeler,0:17:42,"Well, I know they had mines up there and I remember the Chinese used to come in there and stop at our place to inquire the way the mines. They brought in lots of Chinese to mine.",
Laura Schrager,0:17:59,Do you remember any stories about anything happened? Because I remember there was a story about them.,
Ruby Wheeler,0:18:05,"They killed a bunch of white men who went in and killed five or six Chinese one night. That and a lot was over. That's when I was just a little, and I just couldn't remember hearing them talk about it. I don't know why they killed them with the dead.",
Laura Schrager,0:18:24,Do you know why the Chinese disappeared from the area?,
Ruby Wheeler,0:18:28,"I don't suppose they got enough to get them to stay. I don't think it was very rich mining in there. There were several old miners that spent their entire life up there, and they made enough to keep them, I guess. It's the only way they had them making a living.",
Laura Schrager,0:18:58,How were they?,
Ruby Wheeler,0:19:01,"Well, I can't remember their names. Edna probably could tell you. Because her folks used to live right up in there close to where they mined, and she probably could kill all their names.",
Laura Schrager,0:19:16,Do you remember hearing anything of the Duff Wagner feud? Did you know about that?,
Ruby Wheeler,0:19:24,What happened?,
Laura Schrager,0:19:26,"I'm not sure. That's why I'm asking you. It's something Glenn told me that I ought to ask Edna Butterfield, and she didn't remember.",
Ruby Wheeler,0:19:36,Wagner?,
Laura Schrager,0:19:37,Duff Wagner. They were two...,
Ruby Wheeler,0:19:39,"Oh, yes. I knew both of them. Charlie Wagner and Billy Duff. Yeah, I knew both of those guys. Did they have a feud?",
Laura Schrager,0:19:46,Supposedly.,
Ruby Wheeler,0:19:48,They lived pretty close together.,
Laura Schrager,0:19:49,"Yeah, I think that's part of it.",
Ruby Wheeler,0:19:51,"Oh I bet that they would have, all right. They were pretty. Mr. Duff was quite a little guy. But I didn't know that they... There was Johnny English. He lived up in there. Did you hear about him? He was a little Frenchman. He lived up in there for years and years and years, and then let's see. There's Billy Duff and Charlie Wagner. Johnny English. I can't think of that other man.",
Laura Schrager,0:20:24,Were they all Bachelors?,
Ruby Wheeler,0:20:25,Uh-huh. All Bachelors.,
Laura Schrager,0:20:29,Were they... or something?,
Ruby Wheeler,0:20:31,"They were Pete Doffner. Can't think of that one man's name… but there was..… oh, what was that old fella's name then? He used a Chewy's Tobacco. And then he had an old fireplace in his cabin. And he had a little fireplace in his cabin. And then he would take the cud and lay it up on his mantle over his fireplace and let it dry, and then he'd smoke it. He was quite a saving. I can't think of his name now. We used to go up there and visit him a lot. We'd go up there camping right close to where he was working.",
Laura Schrager,0:21:39,Where would you camp? Where would you go?,
Ruby Wheeler,0:21:41,All up in the woods up there. We'd go up at Huckleberry. There were days of gone. Orgo fishing up in there on the river.,
Laura Schrager,0:21:52,Would you get a lot of fish?,
Ruby Wheeler,0:21:55,"Yes. There was good fishing in there then. The roads weren't good like they are now. You had to go in with a buggy… horses… we'd take our camping outfits and go in there and stay three or four days, maybe a week.",
Laura Schrager,0:22:13,The whole family?,
Ruby Wheeler,0:22:19,Dad would take us in sometimes and leave us in there. Three or four days.,
Laura Schrager,0:22:24,Just the kids? Just the kids? Were you ever afraid of being left alone?,
Ruby Wheeler,0:22:30,"Yes. I was scared. I remember one time we went up there and... There was a lady from Spokane that came down. We all went up in there and Dad took us up. He helped us put up our tent and get all fixed up. He came home. We stayed and went up to Waring. They were all afraid to sleep at the door, so they made me sleep there. The door of the tent. They put the axe beside me. You hear a noise? They hit him with the axe. We used to bed and sleep and the little girl that was with us come up. She stepped on my sister's foot. She let me yell out her and she just knew that it was a cougar. We'd heard a cougar the night before. Up above our camp. It wasn't anything, so we... everything was alright.",
Laura Schrager,0:23:38,That'd be pretty scary.,
Ruby Wheeler,0:23:41,"It's pretty lonesome when you're up there, a bunch of women all by yourself.",
Laura Schrager,0:23:45,"Especially in those days when you couldn't... you know, when they were so...",
Ruby Wheeler,0:23:49,"No bones, no nothing up there. That was a lot of fun.",
Laura Schrager,0:24:02,Would you pick a lot of huckleberries?,
Ruby Wheeler,0:24:04,"Oh yes, goodness. We used to bring them out to the cub school. We'd put the... take a great big wash tub and put it in a spring or a little creek, whatever it was, handy. And then for our berries in there, they'd keep for a week some cold. Bring them out and get them. Jam and jelly. Do you like huckleberries?",
Laura Schrager,0:24:40,"Yeah, I think they make the best jam and jelly berries.",
Ruby Wheeler,0:24:46,I bet they do. They're fine. We used to put up so many of them.,
Laura Schrager,0:25:06,"Did you make huckleberry juice much? You know, just for uses.",
Ruby Wheeler,0:25:12,"They used to make huckleberry wine. It was good. Well, it was sure strong though. There used to be an old bachelor lived up above Harvard. They called him Hobble Gubbles. I remember Rodney's first name was there, what his name was. One day, a bunch of us went up there. We kids... he brought out his juleine. Of course, we girls didn't drink very much, but the boys, they drank quite a bit. We had quite a time going home. What's going to stay on their arses? Why is it sure strong?",
Laura Schrager,0:26:05,Did most people make one?,
Ruby Wheeler,0:26:09,"We never made any. Maybe lots of people didn't, but I don't think so. This old man did. He threw out the cup of his makeup. He lived there by himself.",
Laura Schrager,0:26:39,It sounds like you had a pretty nice childhood. It sounds like you had a really good childhood.,
Ruby Wheeler,0:26:45,"We did. Best of any. Usually on Sundays, we'd take our horses and go out into the camera and be gone all day. Run races and jump logs. We really had fun.",
Laura Schrager,0:27:03,You each had your own horse?,
Ruby Wheeler,0:27:05,"Everybody had a horse. I remember one time, mother and dad had gone Spokane… and..… there were three of us, my sister and I, and another girl. Took our horses and we were out carrying around through the woods. We were running a race. And this girl, she had a great big horse. And he hit my sister's horse with his shoulder and knocked her down and threw her sister off. And she had a concussion. And we didn't know what to do for her. We got her home. We got her on the horse and got her home. She didn't come to for about three or four days.",
Laura Schrager,0:28:01,She just laid there?,
Ruby Wheeler,0:28:02,Just laid there… kids were all alone. Mother and dad were gone. We didn't know what to do. So we just slept in bed and took care of her.,
Laura Schrager,0:28:12,How'd you take care of her?,
Ruby Wheeler,0:28:13,We slept in there. We didn't have any medicine or anything. She came out of it. She didn't know what she was talking about. She was out of her head.,
Laura Schrager,0:28:25,When she was lying or when she came to. You mean she'd talk?,
Ruby Wheeler,0:28:30,It's a wonder to me she didn't die… she didn't… nowadays they'd have you in the hospital for a month. We didn't know what to do. They're just the. Four of us at home. And mother and dad we couldn't get touch of them there in Spokane. But it sure scared me. She came out of it just fine. When the folks came to go home I see it's okay.,
Laura Schrager,0:29:10,That seems unusual for them to you know. Did they go on trips like that often?,
Ruby Wheeler,0:29:19,We had lots of neighbors so… it wasn't… and we could do the charges same as they could. They had to get away once in a while. Kids knew how to take care of themselves those days. There wasn't anybody to. Maybe you had to look after yourself.,
Laura Schrager,0:29:51,Did you all learn how to cook and everything like that?,
Ruby Wheeler,0:29:54,I think.,
Laura Schrager,0:29:58,Did you learn how to did you would your mother teach you how to sew or. Would you learn.,
Ruby Wheeler,0:30:04,She but she does. Now I always did hate so. I never did like to sew my sisters all four of them are good. They can just really make anything and I can't sew at all. Because I didn't like it. Just hated so and I still do.,
Laura Schrager,0:30:34,Do you remember any of the things that. That your mother used to make that are really different from things that you do now?,
Ruby Wheeler,0:30:46,Mother was a wonderful cook. You mean in cooking on. Oh I think. She could do anything. She made her own soap and she made. Everything. Did all of our sewing. She didn't have too much to. You know. To work with. Of course she had all of her own butter and cream and milk… cookies… shortcake and. She's making most delicious biscuits. They can follow biscuits.,
Laura Schrager,0:31:34,She had baking powder. How'd she remember all that in her head if she didn't use any recipes?,
Ruby Wheeler,0:31:44,Just natural in those days I guess. I had to remember. When the potlatch was building the railroad through Harvard. That was the end of the line then they had. But it cares to remove yet. And mother of lorded. These loggers. Things that came in there. People that came up the end of the line came up there to eat. And we did have. Oh goodness I don't know how many we would have. Mother fed them. And she cooked all the time. She was really busy… having to yell.,
Laura Schrager,0:32:42,"Do you remember much about the, the laying of the track and the building at the railroad?",
Ruby Wheeler,0:32:54,Yeah that's quite interesting.,
Laura Schrager,0:33:02,Did they have a camp near Harvard?,
Ruby Wheeler,0:33:05,It had camps all along the railroad. There was a big camp right down. Across the field from where we lived. And I used to go with dad to deliver milk. He furnished the camp in milk. I used to deliver it. So I remember that quite well.,
Laura Schrager,0:33:33,What kind of place did they have set up for the tents?,
Ruby Wheeler,0:33:38,Great big tents.,
Laura Schrager,0:33:41,Were there a lot of men working on them?,
Ruby Wheeler,0:33:43,Mm hmm… yeah I was like yeah. I don't know how many. To me it seemed big.,
Laura Schrager,0:33:56,Did they work right through the winter?,
Ruby Wheeler,0:33:59,They surely didn't. I don't think they could. I don't remember but I don't think they could. Snow got too deep. They might have I don't know. Well I doubt it. Of course they could work from early spring to late in the fall. Probably a few months they didn't work.,
Laura Schrager,0:34:30,Can you tell me the story of how Harvard got its name and you know how they picked the site for it?,
Ruby Wheeler,0:34:39,It's in that building. I know but I just wanted to tell you as you remember it. Well I know they put the town in there or when they put the depot in there. They were talking to Dad about it and they wanted to call it Canfield. And Dad said no. That he didn't want it named Canfield. He said the Harvard's right down here or the Prince's down here about six miles. He said let's call it Harvard. So they did. And then when the Camp Blair was put in up there they wanted to call that Canfield Park and he wouldn't want to do that either. He said no Mr. Laird had helped so much on the parks and called Laird for it. That's what it's called.,
Laura Schrager,0:35:49,Now did he donate the land for the town site?,
Ruby Wheeler,0:35:53,Dad did… i don't know how much but it's all on his land.,
Laura Schrager,0:36:04,And he just gave it to them.,
Ruby Wheeler,0:36:08,"There was a hotel, a living stable, and a store. I guess that was all, I guess, a blacksmith's shop. And a few houses. The depot. There was a boarding house there.",
Laura Schrager,0:36:42,In addition to the hotel?,
Ruby Wheeler,0:36:44,There was a French lady that came in there and she had a boarding house. She boarded a lot of men. And then they built a new school and brought it down closer to Harvard.,
Laura Schrager,0:37:09,Who would stay in the boarding house? Would it be the loggers?,
Ruby Wheeler,0:37:14,"Yes, there was lots of logging around there then. That was all new timber in there. They put a railroad track through my dad's field up into the way back in timber and brought out timber. They had a hard little boy to keep the cattle out of the field. And my sister and I went up there and we played up there all day with this little boy. He didn't want to stay there long, so he stepped there all day.",
Laura Schrager,0:37:56,What was he supposed to keep the cattle from going in the field?,
Ruby Wheeler,0:38:01,"You see, the railroad went right through the field. And the cattle then those days were turned loose out on the range. And there wasn't someone there to watch them on. They were all in the field. So he kept them out.",
Laura Schrager,0:38:22,"Were most of those loggers, single men that just...",
Ruby Wheeler,0:38:26,"I imagine they were. Well, I suppose there were a lot of married men. I don't know.",
Laura Schrager,0:38:33,You didn't get to know very much.,
Ruby Wheeler,0:38:35,"Oh, I knew a lot of them, yeah. There was quite a few young men came in there from... Oh, Minnesota and Wisconsin and all those eastern places, you know, where they did so much logging. My brother-in-law was from... I almost made that place. Someplace in Wisconsin. He's just a young man. He came out here and married my sister. And then my older sister's husband came from..… minnesota, I believe… so there's lots of people came from the east to work out here in the woods.",
Laura Schrager,0:39:33,Would they.. they just...they'd come out here and then would they try to make the area their home once they got here?,
Ruby Wheeler,0:39:44,"A lot of them, their parents came. I know my sister's husband heard his parents came. And then my family moved out.",
Laura Schrager,0:40:05,"Did all those businesses that you mentioned in Harvard, did those get going right away? Did they just start right up?",
Ruby Wheeler,0:40:11,"I remember building them. They got a lot pretty fast. Of course, they weren't much to look at after. But they held people and fed the men. The hotel was a pretty good size. I think there was three floors. I remember.",
Laura Schrager,0:40:33,Who stayed there?,
Ruby Wheeler,0:40:35,"The men… and they had camps out around Harvard. And if they went out on the train or anything when they came back, they were not before they got out of camp. Because the camps were quite a ways away, a lot of them.",
Laura Schrager,0:40:56,"So there weren't that many people? I mean, the loggers wouldn't just stay there and work out of the hotel. What did the store have that was in Harvard?",
Ruby Wheeler,0:41:09,"Oh, it had everything in it. Whitaker and Steele was their names, and they will forget them when they first came in there. Whitaker's had a family, and Mr. Steele was a single man. They built a hole in there. Whitaker's did. Names there are several years.",
Laura Schrager,0:41:45,"Did they sell what, groceries?",
Ruby Wheeler,0:41:49,"Oh, they had groceries, and they had a lot of hardware, you know, that everyone would want. Around there. It wasn't a great big store, but it had a lot of stuff.",
Laura Schrager,0:42:08,Were there any saloons in town?,
Ruby Wheeler,0:42:10,We didn't have a saloon in Harvard.,
Laura Schrager,0:42:14,Why not?,
Ruby Wheeler,0:42:15,"I don't know. Whether dad kept them out a lot. Maybe he wouldn't let them have a lot. I don't know. But anyway, they started one after Harvard was, a long time after Harvard started, and they were going to have a saloon in there. I don't know what ever happened to it. Never did materialize, I don't think. I never knew it.",
Laura Schrager,0:42:41,Did your father have control over what went in there?,
Ruby Wheeler,0:42:44,"I don't know. I don't know why it was, I don't suppose he did.",
Laura Schrager,0:42:49,Was he opposed to drinking?,
Ruby Wheeler,0:42:52,"Yeah, he never did like drinking. Princeton had two saloons… three, I think.",
Laura Schrager,0:43:05,"Did your father ever give a reason? I mean, what was his reason for why drink was so bad?",
Ruby Wheeler,0:43:11,"I don't know. He never liked it. He never drank himself. He didn't like to be around anyone that was drinking. Of course, I suppose always men, when they came through Princeton, loaded up, I probably didn't keep it out of Harvard. I know when the train stopped there at Harvard, that was the last town for the railroad they had gone on through. And these men had come up from blues and potlots and Princeton. They'd all be drunk. And the conductor fell off and lay him on the platform at the depot, let him sleep it off, and he could get up and take care of themselves. I've been out there lots of times when the platform was just full of drug men lying there, all dead drunk.",
Laura Schrager,0:44:21,"They wouldn't pick them up in town and take him out there, would they?",
Ruby Wheeler,0:44:25,They'd stay there and they'd slap him off.,
Laura Schrager,0:44:28,Would they pick them up from the towns?,
Ruby Wheeler,0:44:31,"No, they'd get on the train. They'd get on the train and be drunk the time they got up there. They probably had to help him on, too, in some of those places. He had them off there.",
Laura Schrager,0:44:55,"Do you remember any of the celebrations that people had, you know, 4th of July?",
Ruby Wheeler,0:45:03,"Oh, yes… we used to go to Princeton all the time, to their celebrations, until Harvard got started and then we had them up there.",
Laura Schrager,0:45:13,"What would they, what would you have?",
Ruby Wheeler,0:45:16,"All they'd have speakers come in from different places, and they'd have dances and races, and they usually had a parade with a few floats in it, and just an old-time celebration.",
Laura Schrager,0:45:44,What would they make the floats out of?,
Ruby Wheeler,0:45:48,"Oh, it was usually on an old wagon, made of a bunting they called then, and kept riding on it. I know I used to play for the dances. I played in an orchestra.",
Laura Schrager,0:46:17,What did you play? What did you play?,
Ruby Wheeler,0:46:20,"I played piano. We'd play. We usually had about two or three days of it. We'd start in the afternoon, play till time to eat, and then to start again and play till way up in the morning, and then go home and sleep a little while and go back and start in again.",
Laura Schrager,0:46:46,This would be for 4th of July?,
Ruby Wheeler,0:46:48,Hard work.,
Laura Schrager,0:46:50,What kind of music would you play?,
Ruby Wheeler,0:46:52,"Oh, we had waltzes and foxtrots and square dances, everything. It was quite a thing. I remember one time, Dad built a great big open-air pavilion, and we played out there. That was nice. It was cool out there.",
Laura Schrager,0:47:27,How many other people would there be in the orchestra?,
Ruby Wheeler,0:47:32,"Four or five. We had violins, and Dad played trumpet. We had a railroad man that played clarinet. Quite a bunch of us.",
Laura Schrager,0:47:56,Did you learn how to play the piano yourself? Did you? You taught yourself?,
Ruby Wheeler,0:48:03,"Well, yeah. You might say I did. I had a few lessons when I was about 9 years old. I think I had six lessons. I learned the notes. But my Dad was quite musical, so he could help me.",
Laura Schrager,0:48:22,Did you play a lot of the dances?,
Ruby Wheeler,0:48:26,"I played all my life. Ever since I was about 12 years old, I played for dances.",
Laura Schrager,0:48:36,Would you get any kind of pay for the play?,
Ruby Wheeler,0:48:39,"Oh, yeah. I'd always get paid",
Laura Schrager,0:48:43,"Did they pass around a hat, or would they pay you a hip-top?",
Ruby Wheeler,0:48:47,"Well, usually for big dances like that, they had a price. But I played for lots of dances where they passed the hat.",
Laura Schrager,0:49:00,How did keep yourself from dancing when everyone around you was?,
Ruby Wheeler,0:49:03,"I couldn't ever get away. When the railroad went through to Boville, we went up there every Friday night, I guess it was. We played up there every Friday night for years. We'd get on the train at Harvard at 6. It would take about an hour to go to Boville. We'd start playing about 8 and play until about 5 in the morning. Then we would go down and the train would be ready to pull out and pull out at 7. Then we'd go on the morning train.",
Laura Schrager,0:49:54,"This was you and your father, right? Where would you play?",
Ruby Wheeler,0:50:00,"They had a big hall up there. There was a fellow who played the violin from Harvard. My dad and I, and there was maybe some musicians from pollution playing with us.",
Laura Schrager,0:50:19,"Who would be the women who would be in the dances? I mean, there weren't that many women around Boville, were there?",
Ruby Wheeler,0:50:28,"Oh, there was then when the railroad went in. There were lots of homes in there then. People moved in there pretty fast after the town started. They had a quite nice little town there. They had a bank and all. They had lots of stores. It was a real nice little town.",
Laura Schrager,0:50:55,Were there ever any fights or any trouble in the dances?,
Ruby Wheeler,0:51:00,I don't think I ever played for a dance in my life there wasn't a fight.,
Laura Schrager,0:51:08,What were they fighting about? Do you remember any of the fights?,
Ruby Wheeler,0:51:11,"Just drinking… get to drinking. You know, your feelings are always hurt when you're drinking. Someone will touch you while you hit it. I don't think they knew what they were fighting about.",
Laura Schrager,0:51:29,Did they ever get pretty big?,
Ruby Wheeler,0:51:31,The fights? Not like you see in the movies. And usually just two. But there's always fights.,
Laura Schrager,0:51:52,Was there still a lot of drink around even if prohibition went in?,
Ruby Wheeler,0:51:57,"Oh, yes… that didn't stop it. When I lived down in Southern Idaho, down around Cascade and down in there, there was steel in every house. It wasn't as bad then as it had been. They said every place along that railroad there was steel. I believe it. That was quite a good place down there. I don't know if there was ever much moonshine right around in here or not, around Harvard and Princeton. I just don't know. I think there was some. There could have been.",
Laura Schrager,0:52:58,Were there ever you saw Indians very much when you were young?,
Ruby Wheeler,0:53:02,See what?,
Laura Schrager,0:53:02,Indians in that area.,
Ruby Wheeler,0:53:04,"Oh yes. We've gotten lots of mornings when we were little kids. We had a little field right up from the house, and that would just be full of Indians digging camas. They took that root, made flour out of it. I think they said they used to. Dad never said a word. He just let them dig. The fields were just blue with that camas in those days. I don't see much of it anymore. But they'd come in there and never ask for anything. Just go ahead and get it.",
Laura Schrager,0:53:45,Did they just set up camp right out from here?,
Ruby Wheeler,0:53:48,"No. They'd just dig it and go to their camps, wherever they were. They didn't stay up in here too much in the wintertime, so they didn't have any permanent camps up in here. They would come up in the summer to fish and hunt and pick huckleberries. But their winter camps were down around Lewiston and down in that country where it was warmer. Not so much snow.",
Laura Schrager,0:54:15,You never had much dealings with them yourself?,
Ruby Wheeler,0:54:19,"No, I was scared to death of them. Why, I don't know. But I just didn't want to be around them. Daddy, he always liked to talk to them. They liked Dad, very friendly, but I was just scared of them. They smelled funny. They smelled smoky. I was afraid of them. But they were very friendly. I guess my grandmother used to have a lot of time with them, don't fall actually, when they first come in there. They'd come to their place and they'd want everything grandmother had. They'd want to take this, they'd want to take that. She had a lot of time with them. But we never did have a problem.",
Laura Schrager,0:55:25,"Do you remember, did you go into the sale days at the work?",
