speaker,timestamp,words,End Time
Sam Schrager,00:04:56,"I've talked to some of the top there even before you went, I think I on a dare. Did you ever know?",00:05:02
Violet Frei Boag,00:05:02,"Oh, I knew her real well. But I never knew her to. She didn't answer. She. My dad taught at Collins.",00:05:09
Sam Schrager,00:05:09,Yeah. It wasn't.,00:05:10
Violet Frei Boag,00:05:10,"Collins. Yes. Because you see, then my mother taught there. That's where she met my dad.",00:05:15
Sam Schrager,00:05:15,That's my town.,00:05:17
Violet Frei Boag,00:05:17,"No, it can't come. And so. Yeah. Right. And that's where she met. Met him. One who I own a deer real well. So her her dad was a doctor in Moscow, right?",00:05:38
Violet Frei Boag,00:05:38,"I can't remember this. That picture pictures in here? I know, but I've got one.",00:05:47
Sam Schrager,00:05:48,Well.,00:05:52
Sam Schrager,00:05:52,"In your parents mind, you, being in it, right? Yeah. They're always tough lumberjacks. Then I didn't know.",00:06:02
Violet Frei Boag,00:06:02,"Well, you mean to walk to school?",00:06:03
Violet Frei Boag,00:06:05,"Well, no, because, we were so well known, and my dad was well liked. And then there was nobody to bother us. We never were molested. Anything. And that within walking, there used to be some things. Go on. While we were waiting for Dean for, like, the older boys or something else. Martin off like they do with kids, and then they cook at the home.",00:06:38
Violet Frei Boag,00:06:38,"There would have us come down and stayed drinking and we'd always have goodies, you know? And one time my dad said he couldn't go there anymore because he thought we were being a nuisance. And, I remember he said no. He said, let them come down, keep an eye on them. So we always had some nice hot rolls, think, oh, wonderful.",00:07:07
Violet Frei Boag,00:07:08,"You know, kids are for doing too much.",00:07:09
Sam Schrager,00:07:10,"The good news was that was there a town at all separate from the camp, or was it just all the camp? Was that what was the slept? Was camp in Slab Town the same thing?",00:07:22
Violet Frei Boag,00:07:22,"Yes, it was the same thing. But the camp was it at the well, it was the north end of the town for my dad had there he had houses. And also this sawmill that burned, that burned in 1914. But that was separate.",00:07:44
Sam Schrager,00:07:45,That was separate from the burn camp people who lived in the houses besides your family?,00:07:51
Violet Frei Boag,00:07:51,"Well, we didn't live there. We lived count.",00:07:53
Sam Schrager,00:07:53,"Oh, yeah. Okay.",00:07:54
Violet Frei Boag,00:07:54,"See, but there was, homes there to the columns. but the ones that lived in that I can remember, there was Briggs's and Haines and the Gentry's, and, departures. And then I had another uncle that lived there. so you know, preschool and,",00:08:27
Sam Schrager,00:08:27,Then they discontinued school.,00:08:30
Violet Frei Boag,00:08:30,"Oh, yes. and Collins moved it to camp, and then from camp over.",00:08:36
Sam Schrager,00:08:36,Then we then you had to go in both.,00:08:39
Violet Frei Boag,00:08:39,Then we moved into both.,00:08:41
Sam Schrager,00:08:41,Of the Collins was about two miles further from camp.,00:08:45
Violet Frei Boag,00:08:45,To enhance. Have you ever been up in that?,00:08:49
Sam Schrager,00:08:50,"Yeah, I've been around in the woods, but there's not so much to tell you where it was anymore.",00:08:54
Violet Frei Boag,00:08:54,"Well, I didn't know. four miles from Bovill. You go up there and on the way to Clark. Yeah, well, we still own that. That's in the state. we have 160 acres. The family. And we have our cattle there. And across, from one of the cattle are now there is a corral, and it's a real nice corral.",00:09:19
Violet Frei Boag,00:09:19,"And it's that's where our home was right for the corral. Less than a week now. It's that's all that, Driscoll, I guess, owns it now. That sold it to Wolfe. He was turning, you know, to gold. And then he sold it to Driscoll injectors. Cause, of course, this is down, and, I don't know, I think I don't know what he went through, so I don't know.",00:09:48
Sam Schrager,00:09:48,I do know the 1914 fire with when you remember found it.,00:09:55
Violet Frei Boag,00:09:55,"Well, it was frightening. Real frightening. And, of course we were both very old, so, you know, born and nine. So you can see I wasn't very old, but that fire just came down the hill. See, it was a wind and a hot day. And, we buried as much Douglas as we could. I remember that. And, mother, you were silverware into the well and women, dead and buried a lot of it.",00:10:29
Violet Frei Boag,00:10:29,"I put it in the creek. See, we're right on the creek then. And, he put us on the train and we went to Saint Mary's. But he had to stay because he had a lot of cattle, and I'll never forget that. And we had to leave our dad. And and it was really something. But luck would have it.",00:10:55
Violet Frei Boag,00:10:56,"It didn't take our home there, Collins. You see, it went around the sun, went down into to Slab Town and took his meal and the houses. And then it didn't touchable because he went around just homes. But they thought that they would do and have more. And I remember the people went home and there was some funny incidents which, you know, could tell about, especially Mrs. Gentry.",00:11:28
Violet Frei Boag,00:11:28,"She lived there. They got on the train and somebody sat on the white panel hair, you know. Well, her spigot, all right. And just little incidents that were funny, you know.",00:11:43
Sam Schrager,00:11:43,So my wife had.,00:11:46
Violet Frei Boag,00:11:46,"You know, people got so excited, but the track burned right out behind them as they left. And they went from it went the other way.",00:11:55
Sam Schrager,00:11:55,"So. Well, was, did your mother, go to. Oh, yeah.",00:12:01
Violet Frei Boag,00:12:01,She went with us. Yeah. With you.,00:12:02
Sam Schrager,00:12:03,"So you mean when you left your father behind you. Do you know what I have? Oh, no.",00:12:07
Violet Frei Boag,00:12:07,"You know, you have the slightest idea because you had to take care of the cattle.",00:12:12
Sam Schrager,00:12:12,Was he alone?,00:12:14
Violet Frei Boag,00:12:14,"Well, I don't know. There might have been men around there, you know, who had helpers. We had one man by the name of Mr. Rummaging, and now he probably was there.",00:12:28
Sam Schrager,00:12:28,Maybe you.,00:12:30
Violet Frei Boag,00:12:30,And I don't know who else for how.,00:12:32
Sam Schrager,00:12:32,"Long. I wonder if it was a long time before you found out what had happened. You went to Saint Mary's Grove, you know, for a while.",00:12:41
Violet Frei Boag,00:12:41,"Well, I think he got word to mother. You know, I know we didn't. I don't think we stayed there too long. Of course, after the fire went through, you see. And, there wasn't any more danger because it, they got it out, started fighting them.",00:12:59
Sam Schrager,00:12:59,"What was the big question about TP Jones is responsibility for the fire getting away like that? I had heard that some you know, there was some people felt strongly that he he could have stopped that if he tried in the first place. But they were just letting it burn because it was easier just let the smoke burn out and then it got away.",00:13:23
Sam Schrager,00:13:23,You remember?,00:13:25
Violet Frei Boag,00:13:25,"Well, I've heard a lot of stories, but I don't know, just really what happened. They had started the fire. I think, with the intent to let the slash burn, just like they do now, you know? But, it was just one of those awful hot days, and the wind came up. I do know, and I've heard my dad say that, he mentioned it to a man by the name of Munson.",00:13:57
Violet Frei Boag,00:13:57,"I think Oscar Munson. And, he said Sam. He said it shouldn't be stopped. And someone know whether it was T.P. Jones. And I won't say which one, but it was a potlatch. And they said, well, let it burn. And then that, of course, that was too late. And.",00:14:19
Sam Schrager,00:14:20,"Sam, your father was mentioning two months in advance. He was not telling. he was telling you.",00:14:25
Violet Frei Boag,00:14:31,"but he said he went down, reported this, and let it burn. Well, same thing could happen with these control fires. You know, if. And they got on with him.",00:14:46
Violet Frei Boag,00:14:46,"As far as I know, there were no lives lost in that. Thank goodness we could have been. But, it was frightening. They seemed to jump from tree to tree and just. That's already.",00:15:06
Sam Schrager,00:15:06,"Did you have much time to get ready? Get out was. Oh, no, we didn't have to.",00:15:11
Violet Frei Boag,00:15:11,"Then, as far as I know, it just seemed to happen so fast. The main thing was for us to get on there was, I know there was other people there to help there because they did very, things the best they could, you know, in the creek and put it in there so the fire would. But you.",00:15:36
Violet Frei Boag,00:15:36,"It didn't take to me because I was in the back seat to do. And I had a big doll. I still have now. My sister, I don't remember.",00:15:48
Violet Frei Boag,00:15:48,Was an empty man like me.,00:15:52
Sam Schrager,00:15:52,I don't know about that. I guess it was over 50 years old.,00:15:57
Violet Frei Boag,00:15:57,"Yeah, I think I'm 67, so I'm pretty into.",00:16:02
Sam Schrager,00:16:03,Did you get involved? How much money you can.,00:16:05
Violet Frei Boag,00:16:06,"Just go. Yeah, we I think I forgot dates quite a bit too, but I think it was.",00:16:15
Unknown,00:16:15,"19, 19 that we moved 12. Oh, I could be mistaken.",00:16:21
Violet Frei Boag,00:16:21,But it was in 23.,00:16:22
Unknown,00:16:22,I moved to Moscow and then used to. Go to.,00:16:28
Violet Frei Boag,00:16:28,"Well. Come home one Fridays. There. You'd never go to Moscow to live in like the woods. And so we'd always drive home on Friday night and then go back Sunday, you know, for exciting days.",00:16:48
Sam Schrager,00:16:48,Were exciting because of the traveling.,00:16:50
Violet Frei Boag,00:16:50,"Well, yes. And because of the beautiful country. I can look back now. Those trees, of course. the roads weren't very good in those days. You and. Yes, some close calls, for instance, one over here by that part. And it was a small sawmill in there, and it was, well, it seems steep. It wouldn't be steep now, I suppose, to somebody, but it was rocky and it was raining.",00:17:23
Violet Frei Boag,00:17:23,"And, of course, my mother had a mac and, to drive, and she didn't think she was going to make it. And she had, kids and and just lucky to have it, she hit the ground or the rocks over there and got a whole. We went on up. But little things like that. You don't forget.",00:17:47
Sam Schrager,00:17:47,What was your father working in Moscow?,00:17:50
Violet Frei Boag,00:17:50,"No, no, no, he.",00:17:51
Sam Schrager,00:17:51,Was.,00:17:51
Violet Frei Boag,00:17:51,"Retired. No, he stayed in Bovill or Collins.",00:17:56
Sam Schrager,00:17:56,"Oh, I.",00:17:56
Violet Frei Boag,00:17:56,See you like that.,00:17:57
Sam Schrager,00:17:57,And so you.,00:17:58
Violet Frei Boag,00:17:58,Loved.,00:17:59
Sam Schrager,00:17:59,Your mother?,00:18:00
Violet Frei Boag,00:18:00,"Yeah, with his mother.",00:18:01
Sam Schrager,00:18:01,What was she doing in Moscow?,00:18:02
Violet Frei Boag,00:18:02,"Taking care of us kids. We lived there on street of the courthouse. The one that just burned, you know, let me. Or did you know about that?",00:18:12
Sam Schrager,00:18:12,Which is burn.,00:18:13
Violet Frei Boag,00:18:13,"The house that we lived in? Oh, there was a man living another bachelor.",00:18:20
Sam Schrager,00:18:20,"No, I don't know. Was this just recent?",00:18:21
Violet Frei Boag,00:18:21,"Oh, yeah. we were in Seattle, and when I came home, my brother said, do you remember this house? And I said, well, no, but I said, what do you mean? What? He said that I knew that you must mean the one on the street.",00:18:33
Sam Schrager,00:18:33,"Street and,",00:18:34
Violet Frei Boag,00:18:35,In Moscow.,00:18:36
Sam Schrager,00:18:36,"District. Yeah, I know it's.",00:18:37
Violet Frei Boag,00:18:37,Just below the courthouse.,00:18:38
Sam Schrager,00:18:39,"Oh, really? I'll have promoted that one.",00:18:40
Violet Frei Boag,00:18:40,Yeah. Go in. But there wasn't much to show that it was our house.,00:18:46
Sam Schrager,00:18:46,"Yeah, sure.",00:18:47
Violet Frei Boag,00:18:47,"But I don't know just where they went. What happened when he went to sleep? It burned a little bit. I think, which just. What happened? Well.",00:18:54
Sam Schrager,00:18:55,Then you kids were. It must have gotten fairly hard on your mother. She felt she needed to move it.,00:19:01
Violet Frei Boag,00:19:01,"No, she just did it for our education. That's why was.",00:19:06
Sam Schrager,00:19:06,It we used time for kids? We had a high school.,00:19:08
Violet Frei Boag,00:19:09,"Well, we were in the sixth grade. I remember, and then we left. Just was a quick word on the corner there, not just a block away from where we lived. And then she took, she went over to visit school one day, and she didn't like what was going on. And the teacher was out of the room. Of course, mother would pop in then.",00:19:35
Violet Frei Boag,00:19:35,"So she took us, took me out and sent me to the convent. And then she took my sister because it was quite a distance, you know, to walk. So we went to the convent through the eighth grade.",00:19:49
Sam Schrager,00:19:49,But why? Why Moscow instead of a local school there? There was still a school.,00:19:55
Violet Frei Boag,00:19:55,"Oh, well, there wasn't the advantages since, see, we were, we had church, Sunday school, campfire, and we took piano lessons and we had they had more to offer than the that.",00:20:09
Sam Schrager,00:20:09,And it really made enough difference to your mother only to have those extras. That's right. That's interesting how many of you kids.,00:20:17
Violet Frei Boag,00:20:17,"Well, there's six in our family. We them now. Jeanne, my youngest sister, she was born in 23. She wasn't born until we went to Moscow, but the others were, born.",00:20:37
Sam Schrager,00:20:37,How were they compared to you in age?,00:20:40
Violet Frei Boag,00:20:40,"Well, let's see, I was born in nine. My sister had 111, and my brother was born in 14. He lives in Seattle, Mon. That's Harold. And then I have a sister, Pauline. And she was born 16.",00:20:58
Sam Schrager,00:20:58,To you and yours.,00:20:59
Violet Frei Boag,00:20:59,"Oh, yeah. And then my brother Jack was born in 1683. And then my sister, youngest sister, 23.",00:21:12
Sam Schrager,00:21:12,What did you think of going to school to connect that.,00:21:14
Violet Frei Boag,00:21:14,"I liked it. Oh, my life. And then they were so good to us. We were Catholics, but then people would say, well, oh for sure, religion what they did, we could pray with them, which we did, we do, but we never. I didn't care for some reason.",00:21:35
Sam Schrager,00:21:36,So it was very education and we were getting at what were oh.,00:21:40
Violet Frei Boag,00:21:40,"Well, yes, definitely do the fact that the teacher we had, you know, some teachers were not too good on discipline, the math at that age. I can look back now and are the age group, you know, when you're in the sixth grade, it's kind of wild.",00:21:57
Sam Schrager,00:21:57,Disappointing. they were too strict. They're not strict enough.,00:22:01
Violet Frei Boag,00:22:01,"Not strict enough. Even that time. Oh you. Oh well sure. It's no different now there's things have happened that we did or just like the kids, we didn't have the dough or anything like that, you know. That continued. But there was the smoking and a lot of people, kids smoked. I didn't smoke but I didn't smoke until I went in training.",00:22:31
Violet Frei Boag,00:22:31,I don't think it's any different. Kids are kids. People haven't changed that much.,00:22:37
Sam Schrager,00:22:37,"Oh, I thought you didn't care for dancing in those days.",00:22:39
Violet Frei Boag,00:22:39,"Oh, my. We dance here. I danced to the 33 Friday, and that's where. Well, on the senior housing on Thursday, I go to the.",00:22:53
Violet Frei Boag,00:22:53,"And Friday we go to parties and Saturday we go over here to, Potlatch.",00:23:04
Sam Schrager,00:23:04,Park.,00:23:05
Violet Frei Boag,00:23:05,However it's out of Colfax.,00:23:08
Sam Schrager,00:23:08,What's traveling? How old were you when you were doing that?,00:23:10
Violet Frei Boag,00:23:11,"Oh, I was in high school.",00:23:12
Sam Schrager,00:23:12,We'd go with a bow or what?,00:23:15
Violet Frei Boag,00:23:15,"times? Yeah, 1 or 2. Nothing. Steady. Anybody that would take it so good.",00:23:21
Sam Schrager,00:23:21,Let's see. We'd go as a group.,00:23:23
Violet Frei Boag,00:23:23,Yeah. For a missionary friends. Yeah. So.,00:23:29
Sam Schrager,00:23:29,"Oh, that's pretty good.",00:23:31
Violet Frei Boag,00:23:31,"Oh, we had a good time. My folks were real broad minded. Yes. Good life. Well, do you think.",00:23:41
Sam Schrager,00:23:41,"That your your mother's, stress on education was, I mean, it seems like comparative. Most people would do that, from what I've heard. So good so far as to actually be living in Moscow within the.",00:23:56
Violet Frei Boag,00:23:56,Boundaries of.,00:23:57
Sam Schrager,00:23:57,The sticks.,00:23:58
Violet Frei Boag,00:23:58,"It was only you, 30 miles 42.",00:24:03
Sam Schrager,00:24:03,But it seems like it is. Is it that she was a teacher and that that was part of why she had the stress in education for her kids?,00:24:12
Violet Frei Boag,00:24:12,"I don't she was just a good mother, I guess. I don't know, we never questioned it. She wanted us to have all the advantages.",00:24:19
Sam Schrager,00:24:19,If you want your kids to go to college too.,00:24:21
Violet Frei Boag,00:24:21,"Oh, that's all we have.",00:24:26
Violet Frei Boag,00:24:26,"Left on. I didn't like college. I started, but I always wanted to be a nurse, and I know I was little, really? Oh, yeah. Because in 1914, when the war was home, I remember my dad. I'd be a nurse. And I said, the next war I'll be old enough to go. That's how bad I wanted to be a nurse and didn't know anything about it.",00:24:51
Violet Frei Boag,00:24:51,"And then. Knew I wanted to be a nurse. Well, that was kind of a rough life, you know, to be a nurse, to be a nurse, because they had a poor reputation. That's what my dad said, you know, and, I said, well, I wanted to be a nurse. Well, I went university and I didn't study, I just played, so I flunked, and then I, I told my I was found with.",00:25:19
Violet Frei Boag,00:25:19,"And for those who a lot learn fencing things, but.",00:25:26
Sam Schrager,00:25:26,you were growing up. You're having a good time with kids today.,00:25:29
Violet Frei Boag,00:25:29,Yeah. Right. There's.,00:25:30
Violet Frei Boag,00:25:31,"And then we worked hard, too. You know, my mother had the boarding house, you know, on the farm. Oh, yeah.",00:25:39
Sam Schrager,00:25:39,That's right. I heard about that.,00:25:41
Violet Frei Boag,00:25:41,"Yeah. We just I heard about Moscow, which is sort of.",00:25:47
Sam Schrager,00:25:47,So she was keeping the boarding house at that time.,00:25:50
Violet Frei Boag,00:25:50,"After they moved, we moved down there in 26.",00:25:54
Sam Schrager,00:25:54,To the boarding house.,00:25:56
Violet Frei Boag,00:25:56,Because that we would I would help support us those days and kind of leave no women.,00:26:04
Violet Frei Boag,00:26:04,But yeah.,00:26:05
Sam Schrager,00:26:05,"Well, how many could you board there?",00:26:08
Violet Frei Boag,00:26:08,"Oh, my, I don't know. She had a table they called. see. Did she. Yeah. Look, people, transients came in. Now I, I can't exactly remember how many rooms she had offhand, but, there was a lot of people that lived there, and, And the more you.",00:26:36
Sam Schrager,00:26:36,"And many of the people going, like students at the.",00:26:39
Violet Frei Boag,00:26:39,"University. No, no, no, they were workers.",00:26:42
Violet Frei Boag,00:26:42,"Young. Yeah. Working people. Yes they was. Well I see most one of them was painter and one was well Fred Sams with their knowing that Fred was his brother and they had a store there in Moscow, Sam's Furniture store in Sam's system. And then there was, men that worked in the greenhouse.",00:27:21
Violet Frei Boag,00:27:21,"They were all workers, you know, I mean, nice people.",00:27:25
Sam Schrager,00:27:25,So did you. Did your mother do all the cooking by herself?,00:27:30
Violet Frei Boag,00:27:30,"No. She had help. But we kids had to work. We come home, make the beds and and help, and we come home and serve lunch. You know, before I went back to school, she made us all work, which we were very grateful for. if we all were capable of doing things a lot of people wouldn't do or couldn't do.",00:27:53
Violet Frei Boag,00:27:54,She was really a wonderful mother Oak.,00:27:58
Sam Schrager,00:27:58,"And would that mean if you would work, from when you go from school until supper, you know.",00:28:05
Violet Frei Boag,00:28:06,"and we wash the dishes too, before we went out at night, you know, and helped many at times after even I got to, I had boyfriends. Then kitchen helps with going, but we never worked to do. And we iron sheets on a mango. what? Mango. You know what mango.",00:28:30
Sam Schrager,00:28:30,You have to tell me.,00:28:32
Violet Frei Boag,00:28:32,"Oh, it's a big thing. Well, haven't you seen these modern mangoes?",00:28:36
Sam Schrager,00:28:36,"I don't know, I'm not sure that I have.",00:28:38
Violet Frei Boag,00:28:38,"Oh, how old are you?",00:28:40
Sam Schrager,00:28:40,27,00:28:41
Violet Frei Boag,00:28:41,"Oh, probably. Well, it's just something we just sit down to. And it's run by electricity and it rolls, you know, anywhere in this. But we had this huge room and they had dance sheets. Of course, nowadays people online, like they used to go in all that. And I always, I always said if I ever grew up, I'd never have a mango and I never mangled.",00:29:08
Violet Frei Boag,00:29:08,"And it was really the one thing to have a mango, even when I was, first married, my friends had them and then they got so instead of standing army, they could iron them shirts, everything. But not me. I wouldn't have a mango. Oh, I'd. And it was so hot in those days, in the summer. you know, to that those little things.",00:29:35
Sam Schrager,00:29:35,I've seen all those pressing machines in which is.,00:29:38
Violet Frei Boag,00:29:38,"Well, this goes this goes round and round, you know, you run your shoes through and go because all your plant work well.",00:29:46
Sam Schrager,00:29:46,"So you say that you that your father said to, to a lot of people that didn't have a good reputation in those early days.",00:29:55
Violet Frei Boag,00:29:55,Yeah. That's right.,00:29:55
Sam Schrager,00:29:56,"Well, why was that? Was it just considered a,",00:29:59
Violet Frei Boag,00:29:59,"Well, I think they were kind of classic, like soldiers or something, you know, I mean, hard.",00:30:07
Sam Schrager,00:30:07,Being hardened by their work.,00:30:09
Violet Frei Boag,00:30:09,"No, not.",00:30:10
Sam Schrager,00:30:10,Or being hard working or having to work at a.,00:30:14
Violet Frei Boag,00:30:14,"well, as reputation, I think, is being hard. You know, that's the impression I got from my dad talking because he. I remember when I decided to go and I had no go in this for part time. That was John. He was there and he said, you come up and I'll take you over to the nursing school. I went to Saint Luke's and then I got ready to go.",00:30:40
Violet Frei Boag,00:30:40,"My dad said, now listen, you'll be drinking, you'll be exposed to it and smoking. No, I said, nice. Of course. I said, oh no, dad, I would never smoke. And he said, well, I want you to know that if you do, you send home for money. I don't want you to buy cigarets, okay? We weren't allowed to leave through anything like that.",00:31:07
Violet Frei Boag,00:31:07,"We were opposed to stand on our own to feet. Of course, we did make a little money. You know, most days when I was winning training, I think we got $5 a month going money.",00:31:17
Sam Schrager,00:31:17,"The the idea that, the idea that the women would be nursing men bothered a lot of people think about their kids doing that. but in the early days, I was part of the problem.",00:31:30
Violet Frei Boag,00:31:30,"Yeah, she was older than I was, but we didn't have anything like that. And then she. I went in, training in 20, graduated in 31. Was three years course. So I think it was 28. And I loved to remember that. It was hard work, but it was really interesting. Then I after I graduated in 31, it was during depression and I couldn't get a job anyplace.",00:32:03
Violet Frei Boag,00:32:03,"So I went to Seattle and stayed with some friends there. Friends and mothers we've known. Their name was his name. We still haven't called him. And then Harborview opened. You've heard of Harper? You probably in Seattle. It's a county hospital. And I got on there and they told me that I could have the job, you know, and steady is the girl that got sick and went home, I guess.",00:32:32
Violet Frei Boag,00:32:32,And she never came back. So I got to stay. So I had had a job.,00:32:36
Sam Schrager,00:32:36,That was your.,00:32:36
Violet Frei Boag,00:32:36,First. And that was my first steady job room board and $185 a month. And maybe you think that didn't look good today. It was wonderful.,00:32:49
Sam Schrager,00:32:49,"Was it an eight hour shift or, you.",00:32:51
Violet Frei Boag,00:32:52,"Know, we were 12, 12? oh, no, they didn't have eight hours for years.",00:33:01
Sam Schrager,00:33:01,"Well, they had hours in the woods. And then I think what.",00:33:04
Violet Frei Boag,00:33:04,"We brought in a union. No way. Even when I special, I did 12 hour duty.",00:33:12
Sam Schrager,00:33:12,"What is that, like something you got used to, or was it always hard on time? You were to be 12 hours. It seems like a long day. Work.",00:33:21
Violet Frei Boag,00:33:21,"Well, it was a long day. But you didn't know any different. I never worked too hard in my life as I worked at Harborview, and I was there for three years, and I mean work. Nobody. You wouldn't believe it if I were to tell you how hard we worked.",00:33:37
Sam Schrager,00:33:37,"Tell me, how hard did you work? Resolve? No, I mean, what what was the nurse expected to do?",00:33:43
Violet Frei Boag,00:33:43,"Well, you just did nursing care, but you see, your nursing care, like, just give me the example for, brand. They sprayed them with, paraffin. Everything the hard way, you know? I mean, it was modern in those times, but, heck, no, it's it's a lot simpler. They put them in cold water or whatever that doctrine, license and then emergency.",00:34:11
Violet Frei Boag,00:34:11,"I worked on emergency. I just talked and visited with a girl when I was in my over in Seattle, and she we, we they called us and called us twins. We worked together in wards. You know, we had there was ten patients in a ward and we worked together and do their baths and do their treatments and everything.",00:34:36
Violet Frei Boag,00:34:36,"And she contends that that's what gave her poor health in those days. You know, she just work that hard. But we were so grateful to have a job and nobody complained.",00:34:50
Sam Schrager,00:34:50,We did. Some nurses work harder than others.,00:34:52
Violet Frei Boag,00:34:52,"Oh, yes. Oh, there's always somebody that won't, you know, keep up their end of it. Of course we got smart and we laughed about it because we didn't know any different. I guess we were just hardworking gals, enjoyed it. And, there was lots of girls that would, oh, fool around taking care of a patient, and and then the, the students or had to go to class, and then we have to report.",00:35:20
Violet Frei Boag,00:35:20,"Well, then you reported to us because we were graduates and, they'd say they didn't have the work. Well, and then give us their work that they didn't have that many times. We didn't get all our best done before noon on the treatments. But I said that I said, you remember? We said, heck, we went through. We used to say, oh yeah, we were through which we were and seemingly did a good job.",00:35:50
Violet Frei Boag,00:35:50,"You get kind of smart. And you said, no, we weren't through. So then you get somebody else to take their job.",00:35:57
Sam Schrager,00:35:57,"Glamor I it did. do you think it could be true that her, that she could have bad health, that because she worked so hard.",00:36:05
Violet Frei Boag,00:36:05,"I wouldn't doubt it. Yes. Because she had a family too, which made it kind of bad.",00:36:12
Sam Schrager,00:36:12,"And we were five days a week, I know, some days a week. And, that sounds to me like, an 84 hour workweek.",00:36:25
Violet Frei Boag,00:36:25,"Long hours. Lots of times we'd have. Well, you see, on your, 12 hours, we would have time off, you know, to rest and sleep, of course. But, like, if you go on 3 to 11 like they do now, well, I would run into the night, you know, and so naked 12 hours.",00:36:53
Sam Schrager,00:36:53,"But did you have any energy left for, social life after that?",00:37:01
Violet Frei Boag,00:37:01,"Oh, yes. I used to go to shows and things like that. Of course, in Seattle. It was a lot of things to do, you know, during, you know, a lot more. And we had even in Spokane. For sure. Training was much easier. I mean, we didn't have to work at many.",00:37:23
Sam Schrager,00:37:23,What was the training like over their classes and practice?,00:37:26
Violet Frei Boag,00:37:26,"Oh, yeah, that's right. In.",00:37:34
Violet Frei Boag,00:37:34,"Woodlands. It was nice because I like nursing. Period. So. So enjoy. And so I could I, I just finished just retired. You know, when I was 65, I worked at university for 21 years because that was too hard a job, because that was the thing for when we didn't have. We started out with a lot of patients, but now it's more modern and they don't put a million Michigan University.",00:38:09
Sam Schrager,00:38:09,Of Old School out of college in Portland.,00:38:12
