speaker,timestamp,End Time,words
Sam Schrager,00:15:46:15,00;15;48;03,Yeah.
Roy Glenn,00:15:48:05,00;15;50;20,"Oh, yeah, they just done a lot of that."
Sam Schrager,00:15:50:20,00;15;57;29,"And what else did you kids do? Oh, from work. Was there anything else besides the beans?"
Roy Glenn,00:15:57:29,00;16;13;25,"Not too much work, which is beans and helping the hay. If you. If big enough to, you know, to help in the hay, you'd have help. Help put up hay and stuff like that. That's about the biggest thing there was for a kid to do."
Mabel Glenn,00:16:13:27,00;16;18;00,Milk cows after milk and come over here.
Roy Glenn,00:16:18:02,00;16;18;18,"Yeah, well."
Sam Schrager,00:16:18:18,00;16;22;27,"It was all that work around house, right? There's a lot of farm. Just chores."
Roy Glenn,00:16:23:04,00;16;53;11,"Oh, yeah. You bet everybody had. Sure. They always. They brought in hogs and they had chickens and had cows and and you had chores to do or that, you know, and horses and. Oh yeah, we it was a different altogether. On the present day. We have big farmers now that have got an animal on the place. Well, it's, it's different in that we've got animals and I guess we always will have because we is used to them and we like them."
Roy Glenn,00:16:53:14,00;16;59;00,"Maybe they don't make us too much money, but then it's in the livelihood and people."
Sam Schrager,00:16:59:02,00;17;06;16,"Well, at that time, though, didn't your family depend on all that stuff? No, it wasn't going and buying stuff at the store at all."
Roy Glenn,00:17:06:16,00;17;32;19,"Oh no. Now we're it's to say it is. You raised everything your pork and your and your and your beef. You had some when it them days old. They didn't have any any coolers to keep this stuff in like you did. You know, you had your, your pork burger had to cure it, you see. Well, you could they had ways of curing pork and that was one of your main meats."
Roy Glenn,00:17:32:20,00;17;54;21,"And then they'd always raise quite a few chickens and you could butcher a chicken any time you wanted a fresh chicken or some fresh meat. That was another thing that was out. And they all had gardens. Had is another thing that there which they don't do the operation, they, they that is their livelihood. You bet it was. Yes."
Roy Glenn,00:17:54:24,00;18;21;13,"After we have married in the depression and milk cows and and if you got sometimes 235, $2.35 for five gallon kind of cream, well, that wasn't very much, but your groceries was much. You could still survive. I just read in this little paper here, I could just read you some of the things that happened in in here."
Roy Glenn,00:18:21:13,00;18;34;27,"They had something in here that they, what the prices were of. Later years. And."
Roy Glenn,00:18:34:29,00;18;48;19,"He'd gone. You read something here just for you. Come here. Oh, yeah."
Roy Glenn,00:18:48:21,00;18;54;02,What kind of thing was it here?
Roy Glenn,00:18:54:04,00;19;28;05,"Blue cash grocery. Advertise these items. Breakfast item switch bacon, $0.35 a pound. Sperry hot cake and waffle flour, 10 pound bag, $0.55. New shipment of Albert Rose were oh 29 cinch package. Now that is in 1936. So you know, long before that when I tell you one thing, I got to see the they changed the bank. Built a new bank here a few years back."
Roy Glenn,00:19:28:07,00;19;52;14,"Well, the old bank was here. And when they taken the books from the old bank. The new business down in that old bank was just rolled out every day. They had a big book about this big. And what business this guy just wrote to me. Isn't this town? Well, I went down all this list. I happened to get to see this for 1910 now."
Roy Glenn,00:19:52:14,00;20;29;12,"And this was when they saw my dad had $10.75 in the bank. A lot of people had 3 or $4, and the most on deposit that I see on that book. His name was Albert, and he lived on average, and he had $335 in the bank. Now you can guess about how the bank well, one man could run the bank at that time in 1910, you know, and always since day to now down here, they just tell me they have to make six copies of everything that goes to this man."
Roy Glenn,00:20:29:14,00;20;56;24,"Well, one, I just wrote it out 70 every day. And then the next day the new page is over here and start what business is done. He just keep it down. Now that's the way it was in 1910. So, you know, there wasn't too much money changing hands, but there is quite a lot of trade down. You trade, you trade something you raise for somebody that had something that you wanted."
Roy Glenn,00:20:56:26,00;21;01;07,And that's the way they go about the business. A lot of it. You mean.
Sam Schrager,00:21:01:07,00;21;03;04,It was just trade between the farmers.
Roy Glenn,00:21:03:04,00;21;25;20,"That a lot of this stuff would be just kind of trade. That's why they survive more, you know, because I didn't have money to buy it. But probably this fella had something he wanted. And, and if you had something that you could interest in me, it is a trade. But his town stuff was too cheap for ten years."
Roy Glenn,00:21:25:20,00;22;02;08,"It, Well, that was 1910, now 19 and, six and seven was a lot. I read I saw a note to a fella. Had to give about $3 worth of spuds from, a neighbor, and he didn't have no say no on it. So he gave him a note for 300 pounds of spuds, and he paid him a dollar a year for that spuds, but he had to pay 12% interest on that."
Roy Glenn,00:22:02:10,00;22;29;17,"Now that's a that's the way it was in in the early days here. And yeah. But the land was well, nobody was in a hurry about buying somebody else's land like it is now. You know, if you had some land and that is your home, that's just about all you wanted. If you had a place to live and stuff."
Roy Glenn,00:22:29:19,00;22;52;14,"But now it's gone. The other way. But I was just going to tell you there was a lot of trouble in land in nine days, though. If you owned some land, nobody was going to get it away from you unless they had some excuse. I was just thinking, on our rage, these two men killed. Yes. Two just stablish your line."
Roy Glenn,00:22:52:14,00;23;21;01,"Fence. Two men got an argument and one killed the other. And then the other man got scared and hung his tail. And it said in the paper, that is 19 six, I think they tell me. And how would you kill them? They they they. Said in the, in the records that these two men lost their lives to establish line fans in Idaho, that that is a nice."
Sam Schrager,00:23:21:03,00;23;23;03,"This, was this on Texas?"
Roy Glenn,00:23:23:05,00;23;24;02,That's right.
Sam Schrager,00:23:24:04,00;23;31;12,"What happened to the, to the the man that, killed the other guy first he shot the other guy."
Roy Glenn,00:23:31:18,00;23;54;26,"Yeah. And then he hung himself. Yeah, he ran off in the canyon to get away from the wall. And, And he starved out. In about three days, he come to a neighbor's house, and, the neighbor was gone, and he went in to get something to eat. Well, the neighbor come while he was there. Now they've that is before my time to remember much."
Roy Glenn,00:23:54:26,00;24;15;27,"But I've been in his house where he hung himself, and they've told me all about it, and so he, The man live there said he had to go report it to officers, that he had come, and so he didn't want him to. But in this house it was a fine old house. And in the upstairs they'd had long logs."
Roy Glenn,00:24:16:03,00;24;38;16,"Two but they never the floor, which is about half of a house. And they had beds up there and they had a, good stairway to get up. And, while this fella went to get the sheriff away, he goes up this stairway. Gorgeous. The floor was, you know, and put a rope around one of these so old rafters."
Roy Glenn,00:24:38:16,00;25;06;02,"And then he jumped over there when they come back, why, he was hanging there. And so they both lost his life. So then they got to the court, and they sent the surveyors out and surveyed this fence and set it on the line. And I farmed this place for a long time, like where this fence was there, you know, and but it said in the records that they lost his life by,"
Roy Glenn,00:25:06:04,00;25;11;04,To establish a line for each calf to live in the Idaho.
Sam Schrager,00:25:11:07,00;25;13;05,I guess that land really meant some.
Roy Glenn,00:25:13:05,00;25;52;00,"Well, it did in a way. If it if it George and he was going to get a foot average. Well, we had neighbors that, after we went to the Texas range that had the Devil's Lane. Now, you know what that is. And fence. Your farm was here and he was here. They wouldn't going fences with you. But this land in between there, each one looked after he has fence and that they call that the Devil's Lane because, they we had some of that on our ridge after we have married, that they still had a devil's playing fish."
Roy Glenn,00:25:52:02,00;26;01;09,"So you can see right there that they had a hard time, with their land that nobody was going to get any for nothing."
Sam Schrager,00:26:01:09,00;26;07;15,"Or if you had a fence like that, would that just mean you didn't trust your neighbor to keep the to keep, the line. Right."
Roy Glenn,00:26:07:20,00;26;21;13,"Yeah, I guess that's what it'd be. Yeah. And you didn't want him. He you didn't want him on your place either. And and that is the line that he put out that you you worked. Yeah. They had that."
Sam Schrager,00:26:21:15,00;26;24;08,Well that on that devil's 90 that just get all brushy.
Roy Glenn,00:26:24:11,00;26;25;06,Oh yeah.
Sam Schrager,00:26:25:12,00;26;27;04,They probably walk through it man.
Roy Glenn,00:26:27:07,00;26;33;24,All right. Nobody had walked through it. They didn't want to be on it. You know. And you know just be a little straight from.
Sam Schrager,00:26:33:24,00;26;34;27,There about how wide.
Roy Glenn,00:26:34:27,00;26;52;05,"Maybe oh this wide. But they wouldn't put fences with the other family nowadays, you know. And it all you take so much in the house like so much but and that it wasn't really a it happened that way. Lots of different places had they had devils so they."
Sam Schrager,00:26:52:08,00;26;56;16,"So they figure to maybe, maybe the, the other guy wouldn't keep up the fence."
Roy Glenn,00:26:56:18,00;27;16;19,"Well maybe not too much, not too much it that they both had pretty good fence. Yeah. They didn't want to survive anything of that there. That was their neighbor. But most neighbors got along good once in a while. They had trouble."
Sam Schrager,00:27:16:22,00;27;26;12,"Right. Was it hard to, to get land at that time? I mean, if you, wanted to farm, like you said, you had a little place and then,"
Roy Glenn,00:27:26:15,00;27;49;13,"You know, it wasn't hard to if you had some money. They had one. Now, when we, there's fellas that owned a lot of land. They got it in different transactions, you know, and it was for rent. A lot of land was renting. Awful lot of land in them. This was rented at some, some farmer come along. We used to rent being ground."
Roy Glenn,00:27:49:15,00;28;08;28,"If you was a young fella, you could if you had any horses or something you could buy or work. You could rent. Been around some fella, shares. And then he had take it and find it a week. You know, afterwards you would make a little money. In the summer, a young fella could get a little money out of it."
Roy Glenn,00:28:08:28,00;28;33;10,"And actually, some of them got a little start. If you happen to hit a year that the price was pretty good. The beans are pretty good. You might do pretty good on. Yeah, well, and there's lots of little old lumber mills around here named these. And they could always when you got old enough to work at that, you could, you could pick up a little job here."
Roy Glenn,00:28:33:15,00;28;37;06,"There is a lot of little mills, lumber mills all over the country."
Sam Schrager,00:28:37:12,00;28;40;14,But that would be year round enough that it'd just be a seasonal.
Roy Glenn,00:28:40:20,00;29;01;26,"Yeah. Right. In the summer. Enough summer? Yes. And then the winter. Sometimes they'd cut blogs and forums related to the mill with the horses in them days. You couldn't haul very far, you know, only the horses would. But when the snow was on and sleigh and. Well, I had this one is a good time to haul a few logs to the sawmill."
Sam Schrager,00:29:01:28,00;29;03;29,Was there quite a few mills around here?
Roy Glenn,00:29:04:04,00;29;19;21,"Oh, yeah. There's a lot of little mills. Yeah. Even after we have married these little mills up on our ridge all around, they get a patch of timber set up a little sawmill. So the lumber."
Roy Glenn,00:29:19:24,00;29;42;23,"Yeah. They used to be a sawmill. Right. The other side of this schoolhouse here for 2 or 3 years was. Wasn't three then down below, down here, where they shop? Yes. There. That used to be a sawmill. And then up on Cedar Ridge here. They used to be shown the old back Lee, South Southwick Country, you know that."
Roy Glenn,00:29:42:28,00;29;59;19,"And they've been a lot of sawmills there, not not too many years back. But that land is all cleared up there now. They come in here with these big tractors, you know, and they they soon take the timber off and then they clear the land and start farming."
Sam Schrager,00:29:59:21,00;30;03;26,"Would, the sawmill be owned by just one, one man."
Roy Glenn,00:30:03:28,00;30;05;24,Sometimes it would. Yeah.
Sam Schrager,00:30:05:24,00;30;07;10,And he'd just move it around from.
Roy Glenn,00:30:07:10,00;30;34;15,"Place to place. Well, he'd get it. He'd usually set one end where there's timber. Now on Cedar Creek, up here. Mr. Darby had a sawmill. He's he's based on now, but that was there for years. And he is right in a, country where they use lots of timber and lots of people worked for him. And out here, a lot of times he had saw in the winter, too, if it wasn't too cold, you know, that was the problem."
Roy Glenn,00:30:34:17,00;30;52;04,"They was a town. They just had roofs over them, you know? Yeah, they done a lot of sawing and but then they saw the logs a lot in the winter and hold on to the mill on the slab so they'd have them for the spring. Yeah."
Sam Schrager,00:30:52:08,00;30;54;29,"They, he'd have a crew man and stay right there and."
Roy Glenn,00:30:54:29,00;30;55;22,Yeah.
Sam Schrager,00:30:55:25,00;30;56;16,Work.
Roy Glenn,00:30:56:19,00;31;21;23,"And the neighbors around there work a lot. You know, they'd be house here in a cabin over there. So survival was in them days. It seemed like it was about. Oh, I thought about nobody cared too much about being rich. He had to survive. Well, a lot of these old canyon places that nobody thinks about leaving."
Sam Schrager,00:31:21:25,00;31;29;16,"Trash and crews and all that. Oh, you were growing up? Oh, yeah. Would that be the main way that some people would make money? Yeah, for a year."
Roy Glenn,00:31:29:19,00;31;50;16,"Yeah. They'd go out and harvest. See, you had to cut this grain and Shockey and then you had to run it through the machine. Well, you didn't have too many machines, and it took a long time. If you had a job with a machine in it last a long time, 40 days or sometimes longer than that, and then they'd pay you for that."
Roy Glenn,00:31:50:16,00;31;59;21,"And then you if you hit home, you'd have a garden and stuff. And so that's the way they make enough money to get through on."
Sam Schrager,00:31:59:24,00;32;07;00,"Yeah. So that might be for some of these, for some folks that would maybe be the only real employment that they would have."
Roy Glenn,00:32:07:00,00;32;08;24,That's right.
Sam Schrager,00:32:08:26,00;32;11;15,But they could still get body.
Roy Glenn,00:32:11:17,00;32;26;25,"Home and raise a family make. But it didn't cost much to it then made. We did have an old catalog here once. What was that, 1906 or something like."
Roy Glenn,00:32:26:25,00;32;29;01,"That, wasn't it? We got a man suit of clothes for $3 and half a year. They."
Sam Schrager,00:32:35:20,00;32;44;22,"Oh, guys. Guys are raising the families like like that. Would they be thought of as lacking ambition if they didn't have nothing but a job for."
Roy Glenn,00:32:44:22,00;33;16;17,"No, no, that the only way they survive. And there's good workers, too, and, you know, and stuff like that. Some of our best man was a work like that and, yeah, it now in town here and of where the bank is, there's no trees there at that time. And that is in the winter. People would have some grain at home and stuff where they threshed and made keep it, you know, but in the winter."
Roy Glenn,00:33:16:19,00;33;39;26,"So a sleigh and would get good and they'd haul it to town on the sled and that lot everybody bring feed for their horses and they'd feed their not like, you know, feed their horses and they'd bring their own lunch. Usually. And that's where they spend the noon hour. And then from this ridge in that region, all when they started home, everybody knew everybody."
Roy Glenn,00:33:39:29,00;33;41;25,"Yeah, that's the way it turned out."
Sam Schrager,00:33:41:27,00;33;45;03,So they visit a lot of visited it down here.
Roy Glenn,00:33:45:05,00;33;58;10,"Oh yeah. Yeah. While their horses was eat and all aid and heat lunch. Why they'd all everybody is a farmer, new partner, the fella, you know. And so that's the way it turned out."
Sam Schrager,00:33:58:13,00;34;02;12,"They did it. Was there places to go to get warm, get inside. Oh, yeah."
Roy Glenn,00:34:02:12,00;34;24;08,"And now they had places. They had pool halls and stuff. You know, they could go and sit in the hair. Yeah. All the other different, you know. And Kendrick burned up in 1904. They had a, it was mostly it wouldn't be a winter of 19 four. They had a big fire in the summer and burned it up."
Roy Glenn,00:34:24:08,00;34;46;21,"And then it's all rebuilt after that. They, in different ways. That's why they got a lot of brick buildings. They used to have a brick hill right down here, across bridge by town. They made up most all the brick right here in town and took it off the old clay off of the hillside. Put it to that and them places and towns, most all home made break."
Sam Schrager,00:34:46:21,00;34;48;06,I didn't know that.
Roy Glenn,00:34:48:08,00;34;49;26,"Yeah, yeah."
Sam Schrager,00:34:49:27,00;34;55;13,"Whose, Whose place was that? That, that brick, brick plant."
Roy Glenn,00:34:55:13,00;35;02;28,And Joe Frick Jr. Only an old guy by the name of Joe Freight to run the plant.
Sam Schrager,00:35:03:00,00;35;04;26,"Yeah, pretty darn good, brick."
Roy Glenn,00:35:04:28,00;35;18;19,"Oh, yeah. He made good brick here. Yeah. Made a lot of buildings. A lot of these houses around here. That's where they. Yes. From. And stuff. Yeah."
Sam Schrager,00:35:18:22,00;35;21;15,We had the fire before the fire started. Before the fire.
Roy Glenn,00:35:21:19,00;35;23;23,"Again. He had it before the fire, but."
Sam Schrager,00:35:23:23,00;35;25;10,All of a sudden he had a lot of business.
Roy Glenn,00:35:25:15,00;35;34;23,"Oh, gosh. Yeah. He couldn't take care of the business so much had to be brought in, you know, they couldn't get it up here."
Sam Schrager,00:35:34:25,00;35;41;00,Do you think it took very long for them to to get the town built the way it is now? After that far.
Roy Glenn,00:35:41:01,00;36;04;29,"Not too long. Everybody was seeing business was starting back to work on it. You know what? To get things up. You know, I was going to tell him we had just come here, you know, this county and and this old barn right up here is on our place. And my dad, when we come to the country and,"
Roy Glenn,00:36:05:01,00;36;31;25,"Oh, he got a job on a farm out here on American Ridge. Well, that fella he ran, he farmed. And he also had the dray line and cannery. Everything was shipped in by rail and then delivered around town with a team. You know. Well, they used to keep their horses up in this barn. And my dad worked on the farm, and one day they had quite a bit of business in labor."
Roy Glenn,00:36:32:00,00;36;59;16,"They'd have him come down here and help their labor stuff down. No, it it started to grow right up again just soon as it after the fire. It wasn't too long. Till is here his own and now they they own it out the buildings and I can recall later celebration. We went to celebration and they didn't have any trees in town for for shade."
Roy Glenn,00:36:59:18,00;37;22;25,"So they went over on the hillside. You know, there's a lot of furs and stuff over there. And they take barrels and set them and they cut off a tree. Oh, ten feet high or 15 maybe, and set it in there and then pile rocks in that barrel. And that is the shade they had in town. An early day after we'd celebrate."
Roy Glenn,00:37:22:27,00;37;31;08,"And he had his awful hot down here. And and of course, the streets was in the summer days. Oh, nesting in the winter is all mud and stuff."
Sam Schrager,00:37:31:08,00;37;35;27,But was this celebration you're talking about? For the 4th of July?
Roy Glenn,00:37:35:27,00;38;02;02,"That's right. That was a big thing here in that in them days. But now they just forgetting. Oh, yeah. If we got to go to 4th of July, that was a big day. You know, I. Farmers would all go mad as one day they figured on going to also see their neighbors and have a ballgame and horse races once in a while and stuff like that."
Roy Glenn,00:38:02:03,00;38;11;29,"I don't see the entertainment. If you had $0.25, you could do pretty good. It's a celebration. Oh, she nickel for her. Anything you get for a nickel."
Sam Schrager,00:38:12:02,00;38;18;29,"Well, does that mean that on the 4th of July that that the town would be mobbed with people from all over these ridges? Yeah."
Roy Glenn,00:38:19:01,00;38;41;19,"Wherever they celebrate now, sometimes they didn't. Celebrating the towns they celebrate in some place where there's a lot of shade trees or something. And, oh, now up here, later on, they didn't celebrate in town. But of the trees are still there. A lot of them. They had a well, they call that the park, and they'd all meet in there and have a big day."
Roy Glenn,00:38:41:19,00;38;50;01,But Kendrick and Juliana would celebrate. That's the only places they had to be a variety in town.
